,L,u,v,col
52,6575.41492109697,11263.180321374399,5682.461276999909,chocolate1
53,6212.821872194,10710.5026212002,5368.58413019328,chocolate2
54,5518.121792379489,9463.39803806229,4766.21176794423,chocolate3
55,4037.1113465328795,6948.2553359188005,3494.04295880427,chocolate4
56,6599.21907422665,10832.0258611365,4553.47303897637,coral
57,6408.276263199039,11851.6894059019,3869.2528946994503,coral1
58,6057.31566817818,11252.7012776418,3659.3937029681397,coral2
59,5369.53081086255,10007.3057962243,3231.81892143276,coral3
60,3936.3566008000603,7292.692807501329,2366.31631546926,coral4
61,6102.59085811927,-2406.1836049979997,-8549.69156006606,cornflowerblue
62,9126.00564739499,566.4745601400859,2136.16009375356,cornsilk
63,9126.00564739499,566.4745601400859,2136.16009375356,cornsilk1
64,8646.00437121095,508.63701985529997,2076.85259009022,cornsilk2
65,7675.789006372679,439.184310662683,1821.79382575583,cornsilk3
66,5630.70827140368,297.862478264102,1361.09281643961,cornsilk4
67,8616.443673657572,-6738.285157166811,-1452.4492259634399,cyan
68,8616.443673657572,-6738.285157166811,-1452.4492259634399,cyan1
69,8152.993039787641,-6375.85459467935,-1374.32668029015,cyan2
70,7233.748999242791,-5656.98162239331,-1219.3723457956598,cyan3
71,5297.44228311169,-4142.73893722177,-892.974669725363,cyan4
72,2379.30799494719,-712.93415287794,-9608.00145604759,darkblue
73,5297.44228311169,-4142.73893722177,-892.974669725363,darkcyan
74,5883.465208882591,4579.619302344339,5931.163908438579,darkgoldenrod
75,7628.531321722471,6010.15526511682,7682.34654421136,darkgoldenrod1
76,7224.906686345999,5657.8072572150295,7280.093468706179,darkgoldenrod2
77,6409.87533143533,5020.70637626786,6458.868470332429,darkgoldenrod3
78,4693.05324437479,3678.83750718075,4728.998535896049,darkgoldenrod4
79,6718.082575876179,2.42403523604802e-12,-4.8480704720960304e-12,darkgray
80,3938.6499835423497,-3762.7539797770296,4811.92309919879,darkgreen
81,6718.082575876179,2.42403523604802e-12,-4.8480704720960304e-12,darkgrey
82,7076.46236634246,798.207725467349,5218.56990558383,darkkhaki
83,3782.5851023843297,5287.0879455204995,-6761.28727769047,darkmagenta
84,4404.63448013998,-1276.23174333292,4102.83482469522,darkolivegreen
85,8834.294119100501,-2592.68990961211,8233.03242489823,darkolivegreen1
86,8356.00327172232,-2482.64004466293,7809.620544150891,darkolivegreen2
87,7414.60943131245,-2198.91773542477,6912.7300672398405,darkolivegreen3
88,5430.9017440807,-1600.4927881835902,5063.275958736789,darkolivegreen4
89,6786.21212033612,10108.963637221601,6272.884164877901,darkorange
90,6571.281141974229,11340.8958771974,5885.4421887093395,darkorange1
91,6209.06406604282,10781.503125283001,5553.035045120911,darkorange2
92,5514.62860549897,9529.10027198533,4937.6359328770595,darkorange3
93,4034.74535636585,6992.831375099399,3610.04756584348,darkorange4
94,4593.396782840379,3242.7998420038,-10687.6726284753,darkorchid
95,5486.64922447424,3871.2396998207796,-12804.9552242506,darkorchid1
96,5189.10718559395,3644.4078229288502,-12120.6926407055,darkorchid2
97,4612.48260544988,3275.32244199608,-10727.8864386875,darkorchid3
98,3371.6301250293,2367.2817601643,-7864.7107142590085,darkorchid4
99,3434.11268686785,11259.816368836498,2427.0732371741,darkred
100,6791.425301386429,6430.09297717571,3147.33059940232,darksalmon
101,6962.7368397252,-2363.50997647757,3022.5277315827,darkseagreen
102,8883.33735414775,-3063.77963137879,3918.0536538718798,darkseagreen1
103,8404.71195496325,-2905.4086163401003,3715.5240307277704,darkseagreen2
104,7456.87822441208,-2579.8469172896102,3299.1859261652303,darkseagreen3
105,5460.31436423671,-1894.3454713246301,2422.5460341868397,darkseagreen4
106,3435.60694774724,-126.152715869151,-7505.41803564417,darkslateblue
107,3452.58347781451,-1799.1723300064898,-387.81476253099504,darkslategray
108,8834.93864621417,-4629.75963524294,-997.95283840923,darkslategray1
109,8359.99176651074,-4378.529691683089,-943.7997818746271,darkslategray2
110,7415.877802301129,-3899.83737258128,-840.6168099259579,darkslategray3
111,5430.78752073948,-2857.32076423242,-615.900520019484,darkslategray4
112,3452.58347781451,-1799.1723300064898,-387.81476253099504,darkslategrey
113,7269.856207831541,-5652.80095272714,-1485.50319932066,darkturquoise
114,4383.38317136469,3049.61783336248,-11915.502948347299,darkviolet
115,5764.29076260256,14089.8939637586,-2117.0807528249497,deeppink
116,5764.29076260256,14089.8939637586,-2117.0807528249497,deeppink1
117,5452.4260079421,13347.524423061499,-1990.58575684906,deeppink2
118,4837.86694795537,11836.7946078936,-1763.18129573251,deeppink3
119,3540.07952785745,8672.638375576858,-1295.1221788602,deeppink4
120,7038.22260985057,-4793.995936307079,-6882.480852643871,deepskyblue
121,7038.22260985057,-4793.995936307079,-6882.480852643871,deepskyblue1
122,6652.87986203196,-4527.72450393211,-6536.148490869929,deepskyblue2
123,5919.96796661421,-4038.99222754716,-5735.37579287099,deepskyblue3
124,4323.03405512508,-2942.87107767338,-4241.08040992998,deepskyblue4
125,4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,dimgray
126,4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,dimgrey
127,5911.83002570584,-3305.43143565317,-10952.0409469485,dodgerblue
128,5911.83002570584,-3305.43143565317,-10952.0409469485,dodgerblue1
129,5584.119435762171,-3115.6834486748803,-10395.353232096999,dodgerblue2
130,4968.13442916465,-2782.46287327658,-9172.8766724047,dodgerblue3
131,3619.62771775609,-2017.1327930972302,-6774.92414796681,dodgerblue4
132,4283.1218078701795,12768.0083126803,2752.16666530103,firebrick
133,5710.80708823359,17079.8811873175,3681.5984529359703,firebrick1
134,5398.60260971324,16207.167170596498,3493.4834105315003,firebrick2
135,4789.95655103803,14371.573169441299,3097.81789267711,firebrick3
136,3507.99888702591,10504.103228795899,2264.1779396762,firebrick4
137,9206.01891566189,341.402949116005,809.79093774902,floralwhite
138,5153.423687351071,-4646.56669559034,5942.1694149145205,forestgreen
139,8299.35919931927,0.0,-5.98919078726726e-12,gainsboro
140,9150.673845853342,-39.8304304839069,-536.782860716572,ghostwhite
141,8246.83164124948,3576.6905800753398,8682.10670440548,gold
142,8246.83164124948,3576.6905800753398,8682.10670440548,gold1
143,7810.38383724875,3358.3402822031603,8226.15721926757,gold2
144,6926.84148453396,2989.98700251586,7294.17545502807,gold3
145,5065.353167527679,2215.4918343326103,5330.44193016127,gold4
146,6872.8503505645895,4679.96748230378,6876.1794871206,goldenrod
147,7792.870318826,5308.018994171261,7801.25375273062,goldenrod1
148,7370.794004260891,5034.6145753826295,7382.6195492794095,goldenrod2
149,6538.65830235194,4470.87191631581,6551.61433111582,goldenrod3
150,4785.93839915101,3281.8099298669,4789.93290786574,goldenrod4
151,7379.36240516807,0.0,5.325279732026059e-12,gray
152,0.0,0.0,0.0,gray0
153,255.559495504269,-9.22116117228891e-14,-1.8442322344577802e-13,gray1
154,390.287021582826,0.0,0.0,gray2
155,573.8050100690721,-2.07041748492785e-13,0.0,gray3
156,688.306475640244,0.0,-4.96712903215356e-13,gray4
157,851.915655872187,-3.0739032226108196e-13,0.0,gray5
158,956.7486335267349,-3.4521641755901195e-13,-1.38086567023605e-12,gray6
159,1108.952061069,0.0,0.0,gray7
160,1207.58502893544,4.35723828577949e-13,0.0,gray8
161,1351.94338226232,-4.87811568067603e-13,-9.75623136135206e-13,gray9
162,1492.58186799416,-1.0771141913903401e-12,-2.15422838278069e-12,gray10
163,1584.5315517939498,0.0,0.0,gray11
164,1720.04607952456,-1.24126259458786e-12,-1.24126259458786e-12,gray12
165,1808.92806753845,-1.30540383380672e-12,-1.30540383380672e-12,gray13
166,1940.26831757046,7.000924320381689e-13,-1.40018486407634e-12,gray14
167,2026.60975914825,0.0,-1.46249273074868e-12,gray15
168,2154.4454077342198,-7.773723415134499e-13,-1.5547446830268998e-12,gray16
169,2238.62800111548,-8.077473138829229e-13,0.0,gray17
170,2363.45475317866,0.0,-1.7055752250151697e-12,gray18
171,2445.76666624233,-8.82487601359958e-13,-3.52995040543983e-12,gray19
172,2567.96511382579,0.0,0.0,gray20
173,2688.7349870348003,-9.701560341594092e-13,0.0,gray21
174,2768.5018261276696,0.0,1.9978754062044198e-12,gray22
175,2887.09575410318,0.0,0.0,gray23
176,2965.4876173456896,-1.07001460540584e-12,-2.14002921081168e-12,gray24
177,3082.1215308325395,-1.11209874367255e-12,0.0,gray25
178,3159.26940669122,0.0,0.0,gray26
179,3274.1229319241997,-1.18137716595453e-12,0.0,gray27
180,3350.13660463909,0.0,0.0,gray28
181,3463.3613153990996,-1.2496586293594498e-12,-2.4993172587188996e-12,gray29
182,3575.6721020476,-1.2901828862660001e-12,2.5803657725320002e-12,gray30
183,3650.0593873860207,-2.6340469825313498e-12,-2.6340469825313498e-12,gray31
184,3760.93978813802,0.0,-2.7140632655627902e-12,gray32
185,3834.40899748299,0.0,-5.53416390128613e-12,gray33
186,3943.9618082424104,0.0,-5.69228037007889e-12,gray34
187,4016.5769919557,0.0,0.0,gray35
188,4124.89222618655,0.0,-2.9767077103462596e-12,gray36
189,4196.70969057568,1.5142672109970102e-12,0.0,gray37
190,4303.8667681751895,0.0,0.0,gray38
191,4374.936366718121,1.5785754028201201e-12,0.0,gray39
192,4481.0058358058295,-1.61684765202718e-12,0.0,gray40
193,4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,gray41
194,4656.41690082705,0.0,3.3602798161087404e-12,gray42
195,4760.87463807552,1.71783060817726e-12,3.43566121635451e-12,gray43
196,4830.19643144222,-1.7428434697860601e-12,0.0,gray44
197,4933.71757057753,0.0,-3.5603924485043603e-12,gray45
198,5002.43145859758,0.0,0.0,gray46
199,5105.06423306273,0.0,0.0,gray47
200,5173.2008620323995,0.0,-3.7332143602254e-12,gray48
201,5274.98913803449,0.0,0.0,gray49
202,5342.57643564761,-1.92772169514463e-12,-3.85544339028926e-12,gray50
203,5443.56026467014,0.0,-3.92831786215141e-12,gray51
204,5544.07923934468,0.0,0.0,gray52
205,5610.839860295479,0.0,-4.04903434025001e-12,gray53
206,5710.61166733166,-4.1210341625470296e-12,-4.1210341625470296e-12,gray54
207,5776.8851175522805,-2.08443003213931e-12,0.0,gray55
208,5875.941889497429,0.0,-4.24034388510167e-12,gray56
209,5941.74875028344,0.0,0.0,gray57
210,6040.12017359714,-2.17941115867489e-12,0.0,gray58
211,6105.47948624923,0.0,0.0,gray59
212,6203.193063121489,-2.2382515235835697e-12,0.0,gray60
213,6300.52431014958,0.0,-4.54674165162008e-12,gray61
214,6365.203765628771,0.0,-4.59341725507068e-12,gray62
215,6461.91717979197,0.0,-4.66321000354683e-12,gray63
216,6526.19248960099,2.3547969786545097e-12,-4.709593957309019e-12,gray64
217,6622.310880148921,-2.3894786549942795e-12,0.0,gray65
218,6686.19673801484,0.0,-4.8250602177164996e-12,gray66
219,6781.74141634098,0.0,0.0,gray67
220,6845.25156531019,-2.4699206665766e-12,0.0,gray68
221,6940.242483888929,-2.5041955256809304e-12,-5.008391051361861e-12,gray69
222,7034.910204796371,2.5383537677990096e-12,0.0,gray70
223,7097.84567812838,0.0,0.0,gray71
224,7191.989037110699,0.0,-5.1900626842038e-12,gray72
225,7254.5806793866695,0.0,0.0,gray73
226,7348.21663457271,-2.65140177173177e-12,0.0,gray74
227,7410.475417302459,0.0,1.0695464561220301e-11,gray75
228,7503.619947679301,-2.70747478103381e-12,-1.08298991241352e-11,gray76
229,7565.55621712097,2.7298227795617005e-12,0.0,gray77
230,7658.22440266795,-2.7632595443661603e-12,-5.52651908873233e-12,gray78
231,7719.847930350699,0.0,0.0,gray79
232,7812.05402377986,0.0,-5.637529460430401e-12,gray80
233,7903.98938340979,0.0,5.703874149905321e-12,gray81
234,7965.1315429651,0.0,-5.74799708155917e-12,gray82
235,8056.626052435491,0.0,-5.8140236337357e-12,gray83
236,8117.47849858886,-2.92896874758573e-12,0.0,gray84
237,8208.54454540564,0.0,-5.92365484943088e-12,gray85
238,8269.11532447221,-2.98368272361568e-12,-5.967365447231349e-12,gray86
239,8359.76467256733,3.01639104647798e-12,0.0,gray87
240,8420.06143041278,0.0,0.0,gray88
241,8510.3052647833,0.0,0.0,gray89
242,8570.33527517212,-3.09236965415731e-12,-6.18473930831462e-12,gray90
243,8660.18424241671,-3.1247891816137702e-12,-6.249578363227549e-12,gray91
244,8749.801189691121,-6.3142499820969904e-12,-6.3142499820969904e-12,gray92
245,8809.41867799335,-6.357272642416231e-12,-6.357272642416231e-12,gray93
246,8898.65676368371,-3.21083542886536e-12,0.0,gray94
247,8958.024853322378,-3.2322567703799398e-12,0.0,gray95
248,9046.89348886416,0.0,0.0,gray96
249,9106.01831166989,-3.28565613748912e-12,0.0,gray97
250,9194.526488554691,-3.3175918776387696e-12,-1.32703675105551e-11,gray98
251,9253.41390550527,0.0,0.0,gray99
252,9341.570221995458,-3.3706485626489304e-12,0.0,gray100
253,8344.34284374286,-7971.69318804991,10194.441304816899,green
254,8344.34284374286,-7971.69318804991,10194.441304816899,green1
255,7895.500506998041,-7542.8956823218,9646.08214187894,green2
256,7005.2316993979,-6692.38535191261,8558.42391947087,green3
257,5129.9587628484205,-4900.86015047201,6267.367542694499,green4
258,8667.62023800067,-4113.35256403781,9836.31759689557,greenyellow
259,7379.36240516807,0.0,5.325279732026059e-12,grey
260,0.0,0.0,0.0,grey0
261,255.559495504269,-9.22116117228891e-14,-1.8442322344577802e-13,grey1
262,390.287021582826,0.0,0.0,grey2
263,573.8050100690721,-2.07041748492785e-13,0.0,grey3
264,688.306475640244,0.0,-4.96712903215356e-13,grey4
265,851.915655872187,-3.0739032226108196e-13,0.0,grey5
266,956.7486335267349,-3.4521641755901195e-13,-1.38086567023605e-12,grey6
267,1108.952061069,0.0,0.0,grey7
268,1207.58502893544,4.35723828577949e-13,0.0,grey8
269,1351.94338226232,-4.87811568067603e-13,-9.75623136135206e-13,grey9
270,1492.58186799416,-1.0771141913903401e-12,-2.15422838278069e-12,grey10
271,1584.5315517939498,0.0,0.0,grey11
272,1720.04607952456,-1.24126259458786e-12,-1.24126259458786e-12,grey12
273,1808.92806753845,-1.30540383380672e-12,-1.30540383380672e-12,grey13
274,1940.26831757046,7.000924320381689e-13,-1.40018486407634e-12,grey14
275,2026.60975914825,0.0,-1.46249273074868e-12,grey15
276,2154.4454077342198,-7.773723415134499e-13,-1.5547446830268998e-12,grey16
277,2238.62800111548,-8.077473138829229e-13,0.0,grey17
278,2363.45475317866,0.0,-1.7055752250151697e-12,grey18
279,2445.76666624233,-8.82487601359958e-13,-3.52995040543983e-12,grey19
280,2567.96511382579,0.0,0.0,grey20
281,2688.7349870348003,-9.701560341594092e-13,0.0,grey21
282,2768.5018261276696,0.0,1.9978754062044198e-12,grey22
283,2887.09575410318,0.0,0.0,grey23
284,2965.4876173456896,-1.07001460540584e-12,-2.14002921081168e-12,grey24
285,3082.1215308325395,-1.11209874367255e-12,0.0,grey25
286,3159.26940669122,0.0,0.0,grey26
287,3274.1229319241997,-1.18137716595453e-12,0.0,grey27
288,3350.13660463909,0.0,0.0,grey28
289,3463.3613153990996,-1.2496586293594498e-12,-2.4993172587188996e-12,grey29
290,3575.6721020476,-1.2901828862660001e-12,2.5803657725320002e-12,grey30
291,3650.0593873860207,-2.6340469825313498e-12,-2.6340469825313498e-12,grey31
292,3760.93978813802,0.0,-2.7140632655627902e-12,grey32
293,3834.40899748299,0.0,-5.53416390128613e-12,grey33
294,3943.9618082424104,0.0,-5.69228037007889e-12,grey34
295,4016.5769919557,0.0,0.0,grey35
296,4124.89222618655,0.0,-2.9767077103462596e-12,grey36
297,4196.70969057568,1.5142672109970102e-12,0.0,grey37
298,4303.8667681751895,0.0,0.0,grey38
299,4374.936366718121,1.5785754028201201e-12,0.0,grey39
300,4481.0058358058295,-1.61684765202718e-12,0.0,grey40
301,4586.45343439357,-1.65489551637633e-12,-3.30979103275266e-12,grey41
302,4656.41690082705,0.0,3.3602798161087404e-12,grey42
303,4760.87463807552,1.71783060817726e-12,3.43566121635451e-12,grey43
304,4830.19643144222,-1.7428434697860601e-12,0.0,grey44
305,4933.71757057753,0.0,-3.5603924485043603e-12,grey45
306,5002.43145859758,0.0,0.0,grey46
307,5105.06423306273,0.0,0.0,grey47
308,5173.2008620323995,0.0,-3.7332143602254e-12,grey48
309,5274.98913803449,0.0,0.0,grey49
310,5342.57643564761,-1.92772169514463e-12,-3.85544339028926e-12,grey50
311,5443.56026467014,0.0,-3.92831786215141e-12,grey51
312,5544.07923934468,0.0,0.0,grey52
313,5610.839860295479,0.0,-4.04903434025001e-12,grey53
314,5710.61166733166,-4.1210341625470296e-12,-4.1210341625470296e-12,grey54
315,5776.8851175522805,-2.08443003213931e-12,0.0,grey55
316,5875.941889497429,0.0,-4.24034388510167e-12,grey56
317,5941.74875028344,0.0,0.0,grey57
318,6040.12017359714,-2.17941115867489e-12,0.0,grey58
319,6105.47948624923,0.0,0.0,grey59
320,6203.193063121489,-2.2382515235835697e-12,0.0,grey60
321,6300.52431014958,0.0,-4.54674165162008e-12,grey61
322,6365.203765628771,0.0,-4.59341725507068e-12,grey62
323,6461.91717979197,0.0,-4.66321000354683e-12,grey63
324,6526.19248960099,2.3547969786545097e-12,-4.709593957309019e-12,grey64
325,6622.310880148921,-2.3894786549942795e-12,0.0,grey65
326,6686.19673801484,0.0,-4.8250602177164996e-12,grey66
327,6781.74141634098,0.0,0.0,grey67
328,6845.25156531019,-2.4699206665766e-12,0.0,grey68
329,6940.242483888929,-2.5041955256809304e-12,-5.008391051361861e-12,grey69
330,7034.910204796371,2.5383537677990096e-12,0.0,grey70
331,7097.84567812838,0.0,0.0,grey71
332,7191.989037110699,0.0,-5.1900626842038e-12,grey72
333,7254.5806793866695,0.0,0.0,grey73
334,7348.21663457271,-2.65140177173177e-12,0.0,grey74
335,7410.475417302459,0.0,1.0695464561220301e-11,grey75
336,7503.619947679301,-2.70747478103381e-12,-1.08298991241352e-11,grey76
337,7565.55621712097,2.7298227795617005e-12,0.0,grey77
338,7658.22440266795,-2.7632595443661603e-12,-5.52651908873233e-12,grey78
339,7719.847930350699,0.0,0.0,grey79
340,7812.05402377986,0.0,-5.637529460430401e-12,grey80
341,7903.98938340979,0.0,5.703874149905321e-12,grey81
342,7965.1315429651,0.0,-5.74799708155917e-12,grey82
343,8056.626052435491,0.0,-5.8140236337357e-12,grey83
344,8117.47849858886,-2.92896874758573e-12,0.0,grey84
345,8208.54454540564,0.0,-5.92365484943088e-12,grey85
346,8269.11532447221,-2.98368272361568e-12,-5.967365447231349e-12,grey86
347,8359.76467256733,3.01639104647798e-12,0.0,grey87
348,8420.06143041278,0.0,0.0,grey88
349,8510.3052647833,0.0,0.0,grey89
350,8570.33527517212,-3.09236965415731e-12,-6.18473930831462e-12,grey90
351,8660.18424241671,-3.1247891816137702e-12,-6.249578363227549e-12,grey91
352,8749.801189691121,-6.3142499820969904e-12,-6.3142499820969904e-12,grey92
353,8809.41867799335,-6.357272642416231e-12,-6.357272642416231e-12,grey93
354,8898.65676368371,-3.21083542886536e-12,0.0,grey94
355,8958.024853322378,-3.2322567703799398e-12,0.0,grey95
356,9046.89348886416,0.0,0.0,grey96
357,9106.01831166989,-3.28565613748912e-12,0.0,grey97
358,9194.526488554691,-3.3175918776387696e-12,-1.32703675105551e-11,grey98
359,9253.41390550527,0.0,0.0,grey99
360,9341.570221995458,-3.3706485626489304e-12,0.0,grey100
361,9218.837900547429,-749.4372808948019,958.402963021275,honeydew
362,9218.837900547429,-749.4372808948019,958.402963021275,honeydew1
363,8723.04822004943,-709.121427356819,906.845835463654,honeydew2
364,7740.148519138109,-626.084605085065,800.655846609469,honeydew3
365,5669.82442242129,-450.761838168638,576.447812686784,honeydew4
366,6456.73223700906,9730.59118997543,-2743.9437904973997,hotpink
367,6521.388344115489,9460.0721823812,-2525.35278327518,hotpink1
368,6213.17279033889,8796.60836259423,-2154.6282743839997,hotpink2
369,5581.18686301265,7515.74167848798,-1697.07165380073,hotpink3
370,3978.95605997758,5937.677831190339,-1638.27277198771,hotpink4
371,5413.480043504001,9392.2318531882,2024.5121076128698,indianred
372,6320.3843822497,12051.0055471545,2597.61545716553,indianred1
373,5981.22905328045,11395.277086448401,2456.27203328538,indianred2
374,5302.24513885879,10138.1291812908,2185.29158957032,indianred3
375,3888.0688783646206,7379.01150141852,1590.558917236,indianred4
376,9311.09942436241,83.0083053750584,1118.67823373048,ivory
377,9311.09942436241,83.0083053750584,1118.67823373048,ivory1
378,8810.35518324362,78.54298515739,1058.50044174241,ivory2
379,7817.260087283621,69.3518454321075,934.634186343106,ivory3
380,5725.40931709678,49.94622427091821,673.110403789584,ivory4
381,8522.17678528933,1098.34783649794,6005.062005326371,khaki
382,8975.32934045707,1076.67083124815,6659.36166303634,khaki1
383,8500.8815759174,995.444802600936,6341.85306344044,khaki2
384,7540.505476017471,888.398763620798,5599.671752371501,khaki3
385,5516.14570251774,668.2347108724949,4086.3395124367894,khaki4
386,8645.82303921042,-116.930394899887,-1575.83614127505,lavender
387,9008.14676681492,827.4927283656191,-193.83393659167498,lavenderblush
388,9008.14676681492,827.4927283656191,-193.83393659167498,lavenderblush1
389,8524.39761083547,780.527278157119,-209.22668325940398,lavenderblush2
390,7564.0844543944295,691.191581047563,-161.95378271722998,lavenderblush3
391,5543.79379764568,494.683487463076,-145.385731268101,lavenderblush4
392,8414.64932715811,-6049.3360064218605,10038.3669469461,lawngreen
393,9142.69163111642,541.097492558158,3279.9934279702397,lemonchiffon
394,9142.69163111642,541.097492558158,3279.9934279702397,lemonchiffon1
395,8643.260451502729,532.648112431083,3107.10446441177,lemonchiffon2
396,7676.482000815279,452.00866700615404,2741.07650090163,lemonchiffon3
397,5639.26312872848,285.619977135201,2043.0987550780399,lemonchiffon4
398,7962.10715169478,-2260.1005362306,-1636.7812201413901,lightblue
399,8633.781692047622,-2470.16658952719,-1821.1196206441398,lightblue1
400,8166.566469008941,-2346.31469651141,-1730.92304865404,lightblue2
401,7247.459101759029,-2046.79433010543,-1534.14582533737,lightblue3
402,5325.7949762259,-1558.59421541485,-1061.89283918985,lightblue4
403,6489.76795012756,8594.57852102812,1852.5765278829397,lightcoral
404,9158.83467015975,-1629.6797694972,-351.280342782307,lightcyan
405,9158.83467015975,-1629.6797694972,-351.280342782307,lightcyan1
406,8665.89724107362,-1545.3551449430402,-333.10402153637796,lightcyan2
407,7688.822138589491,-1372.1746943479902,-295.77467058849703,lightcyan3
408,5630.683860086371,-1007.5230536518599,-217.173367597915,lightcyan4
409,8301.771063818951,1586.7352993473999,6077.586848696999,lightgoldenrod
410,8756.563904771221,1729.0275226703602,6401.54685227593,lightgoldenrod1
411,8280.09986236226,1652.1494854254502,6032.015646485389,lightgoldenrod2
412,7357.8514131560705,1431.6966499275597,5374.1958548555895,lightgoldenrod3
413,5392.62823144734,1035.6097826785099,3940.81711951996,lightgoldenrod4
414,9118.40942785633,215.03359039638198,2897.9437179260603,lightgoldenrodyellow
415,8026.156824709291,0.0,0.0,lightgray
416,8201.25356113311,-4555.5309538044,5825.75016690979,lightgreen
417,8026.156824709291,0.0,0.0,lightgrey
418,7739.455748160921,4727.767480781579,239.099838954771,lightpink
419,7572.306485129409,5369.77591156406,388.453319526717,lightpink1
420,7158.07563019318,5101.2626370054295,319.547606630445,lightpink2
421,6359.80806361355,4494.73177127844,311.44132648996003,lightpink3
422,4658.521263995271,3285.95182154989,235.080156221652,lightpink4
423,7208.937982072859,7412.3326978060495,3856.0250438776097,lightsalmon
424,7208.937982072859,7412.3326978060495,3856.0250438776097,lightsalmon1
425,6815.074617857789,7038.23367846076,3626.2262933758,lightsalmon2
426,6058.793437142671,6192.27625787709,3258.44376746943,lightsalmon3
427,4426.142158160779,4582.84839141308,2390.2542050002,lightsalmon4
428,6448.4214456381105,-5026.38098350265,-358.774128323709,lightseagreen
429,7616.79313136409,-3340.97445653355,-4525.70843442289,lightskyblue
430,8268.86047977741,-2572.31355617377,-2946.8986815454305,lightskyblue1
431,7824.316800008621,-2448.02072192908,-2786.2440471270597,lightskyblue2
432,6946.83456185648,-2194.28024054767,-2454.77498166451,lightskyblue3
433,5079.060643881429,-1569.2755177037698,-1826.91722573621,lightskyblue4
434,5592.11709940202,-211.493096480607,-12213.4982258571,lightslateblue
435,5576.50572939787,-1063.59728595377,-1747.79300869251,lightslategray
436,5576.50572939787,-1063.59728595377,-1747.79300869251,lightslategrey
