Item,Package,Title,Rows,Cols,n_binary,n_character,n_factor,n_logical,n_numeric,CSV,Doc
rockArt,DAAG,Pacific Rock Art features,103,641,624,13,0,0,628,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/rockArt.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/rockArt.html
worldRecords,DAAG,"Record times for track and road races, at August 9th 2006",40,5,1,1,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/worldRecords.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/worldRecords.html
starwars,dplyr,Starwars characters,87,14,1,8,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/starwars.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/starwars.html
storms,dplyr,Storm tracks data,10010,13,0,2,1,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/storms.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/storms.html
breaches,Ecdat,Cyber Security Breaches,1055,13,0,2,5,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/breaches.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/breaches.html
Garch,Ecdat,Daily Observations on Exchange Rates of the US Dollar Against Other Currencies,1867,8,0,1,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Garch.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Garch.html
HHSCyberSecurityBreaches,Ecdat,Cybersecurity breaches reported to the US Department of Health and Human Services,1151,9,1,2,4,1,1,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/HHSCyberSecurityBreaches.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/HHSCyberSecurityBreaches.html
nuclearWeaponStates,Ecdat,Nations with nuclear weapons,9,14,1,2,0,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/nuclearWeaponStates.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/nuclearWeaponStates.html
politicalKnowledge,Ecdat,Political knowledge in the US and Europe,4,12,0,1,0,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/politicalKnowledge.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/politicalKnowledge.html
terrorism,Ecdat,Global Terrorism Database yearly summaries,46,25,0,1,1,0,23,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/terrorism.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/terrorism.html
cnv,gap,Internal functions for gap,602,5,0,2,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/gap/cnv.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/cnv.html
inf1,gap,Internal functions for gap,92,8,0,5,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/gap/inf1.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/inf1.html
jma.cojo,gap,Internal functions for gap,2,16,13,4,0,0,12,https://vincentarelbundock.github.io/Rdatasets/csv/gap/jma.cojo.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/jma.cojo.html
lukas,gap,Internal functions for gap,85,4,1,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/gap/lukas.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/lukas.html
mao,gap,Internal functions for gap,340,19,2,13,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/gap/mao.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/mao.html
PD,gap,Internal functions for gap,825,22,5,16,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/gap/PD.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gap/PD.html
economics_long,ggplot2,US economic time series,2870,4,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/economics_long.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/economics_long.html
luv_colours,ggplot2,'colors()' in Luv space,657,4,0,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/luv_colours.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/luv_colours.html
midwest,ggplot2,Midwest demographics,437,28,1,3,0,0,25,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/midwest.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/midwest.html
mpg,ggplot2,Fuel economy data from 1999 to 2008 for 38 popular models of cars,234,11,1,6,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/mpg.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/mpg.html
msleep,ggplot2,An updated and expanded version of the mammals sleep dataset,83,11,0,5,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/msleep.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/msleep.html
txhousing,ggplot2,Housing sales in TX,8602,9,0,1,0,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2/txhousing.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ggplot2/txhousing.html
countrypops,gt,Yearly populations of countries from 1960 to 2017,12470,5,0,3,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/gt/countrypops.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gt/countrypops.html
exibble,gt,A toy example tibble for testing with gt: exibble,8,9,1,6,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/gt/exibble.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gt/exibble.html
gtcars,gt,Deluxe automobiles from the 2014-2017 period,47,15,1,7,0,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/gt/gtcars.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gt/gtcars.html
pizzaplace,gt,A year of pizza sales from a pizza place,49574,7,0,6,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html
sza,gt,Twice hourly solar zenith angles by month & latitude,816,4,0,1,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/gt/sza.csv,https://vincentarelbundock.github.io/Rdatasets/doc/gt/sza.html
Cholera,HistData,"William Farr's Data on Cholera in London, 1849",38,15,0,1,2,0,12,https://vincentarelbundock.github.io/Rdatasets/csv/HistData/Cholera.csv,https://vincentarelbundock.github.io/Rdatasets/doc/HistData/Cholera.html
Snow.pumps,HistData,John Snow's Map and Data on the 1854 London Cholera Outbreak,13,4,0,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/HistData/Snow.pumps.csv,https://vincentarelbundock.github.io/Rdatasets/doc/HistData/Snow.pumps.html
Virginis,HistData,John F. W. Herschel's Data on the Orbit of the Twin Stars gamma _Virginis_,18,6,0,2,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/HistData/Virginis.csv,https://vincentarelbundock.github.io/Rdatasets/doc/HistData/Virginis.html
Forbes2000,HSAUR,The Forbes 2000 Ranking of the World's Biggest Companies (Year 2004),2000,8,0,1,2,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/HSAUR/Forbes2000.csv,https://vincentarelbundock.github.io/Rdatasets/doc/HSAUR/Forbes2000.html
water,HSAUR,Mortality and Water Hardness,61,4,1,1,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/HSAUR/water.csv,https://vincentarelbundock.github.io/Rdatasets/doc/HSAUR/water.html
mendelABC,hwde,"Mendel's F2 trifactorial data for seed shape (A: round or wrinkled), cotyledon color (B: albumen yellow or green), and seed coat color (C: grey-brown or white)",27,4,0,1,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/hwde/mendelABC.csv,https://vincentarelbundock.github.io/Rdatasets/doc/hwde/mendelABC.html
NCI60,ISLR,NCI 60 Data,64,6831,0,1,0,0,6830,https://vincentarelbundock.github.io/Rdatasets/csv/ISLR/NCI60.csv,https://vincentarelbundock.github.io/Rdatasets/doc/ISLR/NCI60.html
biopsy,MASS,Biopsy Data on Breast Cancer Patients,699,11,1,1,1,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/MASS/biopsy.csv,https://vincentarelbundock.github.io/Rdatasets/doc/MASS/biopsy.html
Alcohol,mosaicData,Alcohol Consumption per Capita,411,4,0,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/mosaicData/Alcohol.csv,https://vincentarelbundock.github.io/Rdatasets/doc/mosaicData/Alcohol.html
Birthdays,mosaicData,US Births in 1969 - 1988,372864,7,0,1,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/mosaicData/Birthdays.csv,https://vincentarelbundock.github.io/Rdatasets/doc/mosaicData/Birthdays.html
RailTrail,mosaicData,Volume of Users of a Rail Trail,90,11,5,1,0,1,9,https://vincentarelbundock.github.io/Rdatasets/csv/mosaicData/RailTrail.csv,https://vincentarelbundock.github.io/Rdatasets/doc/mosaicData/RailTrail.html
Weather,mosaicData,Weather,3655,25,1,3,0,0,21,https://vincentarelbundock.github.io/Rdatasets/csv/mosaicData/Weather.csv,https://vincentarelbundock.github.io/Rdatasets/doc/mosaicData/Weather.html
baseball,plyr,Yearly batting records for all major league baseball players,21699,22,0,3,0,0,19,https://vincentarelbundock.github.io/Rdatasets/csv/plyr/baseball.csv,https://vincentarelbundock.github.io/Rdatasets/doc/plyr/baseball.html
AustralianElectionPolling,pscl,"Political opinion polls in Australia, 2004-07",239,14,0,2,1,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/AustralianElectionPolling.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/AustralianElectionPolling.html
ca2006,pscl,California Congressional Districts in 2006,53,13,3,2,0,2,9,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/ca2006.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/ca2006.html
iraqVote,pscl,"U.S. Senate vote on the use of force against Iraq, 2002.",100,6,2,1,2,1,2,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/iraqVote.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/iraqVote.html
partycodes,pscl,political parties appearing in the U.S. Congress,85,2,0,1,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/partycodes.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/partycodes.html
presidentialElections,pscl,"elections for U.S. President, 1932-2016, by state",1097,4,1,1,0,1,2,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/presidentialElections.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/presidentialElections.html
state.info,pscl,information about the American states needed for U.S. Congress,51,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/state.info.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/state.info.html
UKHouseOfCommons,pscl,1992 United Kingdom electoral returns,521,12,3,2,0,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/pscl/UKHouseOfCommons.csv,https://vincentarelbundock.github.io/Rdatasets/doc/pscl/UKHouseOfCommons.html
myeloid,survival,Acute myeloid leukemia,646,8,3,1,1,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/survival/myeloid.csv,https://vincentarelbundock.github.io/Rdatasets/doc/survival/myeloid.html
rats,survival,Rat treatment data from Mantel et al,300,5,3,1,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/survival/rats.csv,https://vincentarelbundock.github.io/Rdatasets/doc/survival/rats.html
billboard,tidyr,Song rankings for billboard top 100 in the year 2000,317,79,10,2,0,11,65,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/billboard.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/billboard.html
construction,tidyr,Completed construction in the US in 2018,9,9,0,1,0,1,7,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/construction.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/construction.html
population,tidyr,World Health Organization TB data,4060,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/population.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/population.html
relig_income,tidyr,Pew religion and income survey,18,11,0,1,0,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/relig_income.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/relig_income.html
smiths,tidyr,Some data about the Smith family,2,5,2,1,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/smiths.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/smiths.html
table1,tidyr,Example tabular representations,6,4,1,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/table1.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/table1.html
table2,tidyr,Example tabular representations,12,4,2,2,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/table2.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/table2.html
table3,tidyr,Example tabular representations,6,3,1,2,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/table3.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/table3.html
table4a,tidyr,Example tabular representations,3,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/table4a.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/table4a.html
table4b,tidyr,Example tabular representations,3,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/table4b.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/table4b.html
us_rent_income,tidyr,US rent and income data,104,5,1,3,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/us_rent_income.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/us_rent_income.html
who,tidyr,World Health Organization TB data,7240,60,0,3,0,0,57,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/who.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/who.html
world_bank_pop,tidyr,Population data from the world bank,1056,20,0,2,0,0,18,https://vincentarelbundock.github.io/Rdatasets/csv/tidyr/world_bank_pop.csv,https://vincentarelbundock.github.io/Rdatasets/doc/tidyr/world_bank_pop.html
Baseball,vcd,Baseball Data,322,25,3,2,6,0,17,https://vincentarelbundock.github.io/Rdatasets/csv/vcd/Baseball.csv,https://vincentarelbundock.github.io/Rdatasets/doc/vcd/Baseball.html
