,neighborhood,population,white,black,foreignBorn,hhIncome,poverty,collegeGrad
50,East Harriet,3648,0.879,0.013999999999999999,0.053,83266,0.042,0.654
51,Northrop,4511,0.8220000000000001,0.08800000000000001,0.047,75428,0.049,0.608
52,Sheridan,2874,0.669,0.153,0.177,43524,0.065,0.332
53,Logan Park,2139,0.691,0.064,0.15,50987,0.1,0.37799999999999995
54,Windom Park,5548,0.799,0.064,0.098,60922,0.057999999999999996,0.499
55,King Field,7686,0.81,0.044000000000000004,0.069,74606,0.037000000000000005,0.64
56,Morris Park,2914,0.769,0.1,0.042,62045,0.07400000000000001,0.37
57,Central,8618,0.249,0.222,0.326,42856,0.053,0.264
58,Mid - City Industrial,240,0.631,0.158,0.18899999999999997,38875,0.067,0.568
59,Midtown Phillips,4949,0.24600000000000002,0.297,0.36,46055,0.135,0.23600000000000002
60,West Calhoun,1976,0.8540000000000001,0.033,0.09,72500,0.075,0.6829999999999999
61,Bryn - Mawr,2791,0.83,0.055,0.053,101250,0.05,0.746
62,Powderhorn Park,9175,0.461,0.131,0.20600000000000002,50432,0.043,0.374
63,Northeast Park,670,0.611,0.122,0.151,50208,0.08900000000000001,0.39399999999999996
64,Corcoran,4339,0.49700000000000005,0.136,0.151,54722,0.071,0.32899999999999996
65,St. Anthony West,2511,0.763,0.057,0.121,67191,0.057,0.5820000000000001
66,St. Anthony East,2142,0.589,0.193,0.19699999999999998,30245,0.076,0.35600000000000004
67,Kenny,3548,0.852,0.008,0.077,103903,0.048,0.628
68,Armatage,4864,0.8270000000000001,0.018000000000000002,0.085,99818,0.05,0.622
69,Beltrami,1243,0.611,0.122,0.151,50208,0.08900000000000001,0.39399999999999996
70,Cedar - Isles - Dean,2984,0.8809999999999999,0.02,0.086,118750,0.08900000000000001,0.758
71,Kenwood,1512,0.8809999999999999,0.02,0.086,118750,0.08900000000000001,0.758
72,Lowry Hill,3860,0.856,0.03,0.081,75645,0.08,0.8370000000000001
73,East Isles,3261,0.899,0.005,0.087,82145,0.071,0.79
74,Elliot Park,6749,0.5710000000000001,0.315,0.196,31531,0.047,0.354
75,Waite Park,5362,0.855,0.017,0.087,73477,0.055,0.46299999999999997
76,Nicollet Island - East Bank,1393,0.782,0.031,0.138,83520,0.076,0.7340000000000001
77,Marcy Holmes,10496,0.735,0.057999999999999996,0.174,27104,0.042,0.5870000000000001
78,Como,16022,0.7909999999999999,0.075,0.076,67600,0.037000000000000005,0.5489999999999999
79,McKinley,3198,0.22,0.41600000000000004,0.161,42556,0.10099999999999999,0.122
80,Whittier,14604,0.5489999999999999,0.187,0.215,35855,0.038,0.39899999999999997
81,Lyndale,7441,0.515,0.226,0.285,38441,0.083,0.39
82,Columbia Park,1699,0.7509999999999999,0.067,0.13,66545,0.057999999999999996,0.418
83,Marshall Terrace,1587,0.687,0.122,0.11800000000000001,43913,0.063,0.409
