,hightemp,lowtemp,avgtemp,spring,summer,fall,cloudcover,precip,volume,weekday,dayType
60,51,39,45.0,1,0,0,10.0,0.159999996423721,150,True,weekday
61,77,43,60.0,1,0,0,0.400000005960464,0.0,429,True,weekday
62,60,34,47.0,1,0,0,10.0,0.0,293,True,weekday
63,74,55,64.5,0,1,0,4.59999990463257,0.0,461,True,weekday
64,84,70,77.0,0,1,0,9.89999961853027,1.4900000095367398,388,True,weekday
65,61,42,51.5,1,0,0,6.400000095367429,0.00999999977648258,322,True,weekday
66,49,43,46.0,1,0,0,9.69999980926514,0.119999997317791,129,False,weekend
67,71,42,56.5,0,0,1,4.0,0.0,415,False,weekend
68,70,62,66.0,1,0,0,3.0,0.0,460,True,weekday
69,83,60,71.5,0,1,0,8.199999809265138,0.14000000059604598,405,True,weekday
70,90,66,78.0,0,1,0,6.599999904632571,0.0,453,True,weekday
71,92,66,79.0,0,1,0,7.900000095367429,0.0,395,True,weekday
72,88,54,71.0,0,1,0,6.199999809265139,0.0,531,True,weekday
73,62,39,50.5,1,0,0,0.8000000119209291,0.0,236,True,weekday
74,86,50,68.0,1,0,0,6.199999809265139,0.0,484,True,weekday
75,67,43,55.0,1,0,0,0.400000005960464,0.0,445,True,weekday
76,59,35,47.0,0,0,1,1.70000004768372,0.0,252,True,weekday
77,89,69,79.0,0,1,0,9.0,0.36000001430511497,286,False,weekend
78,63,46,54.5,1,0,0,6.900000095367429,0.170000001788139,400,False,weekend
79,59,46,52.5,0,0,1,10.0,0.0,261,False,weekend
80,74,55,64.5,1,0,0,7.800000190734861,0.0,339,False,weekend
81,80,33,56.5,1,0,0,0.699999988079071,0.0,617,False,weekend
82,55,45,50.0,1,0,0,9.60000038146973,0.200000002980232,316,False,weekend
83,62,28,45.0,0,0,1,5.699999809265139,0.0199999995529652,367,False,weekend
84,74,33,53.5,1,0,0,2.5,0.0,635,False,weekend
85,95,66,80.5,0,1,0,4.099999904632569,0.0,449,False,weekend
86,65,20,42.5,1,0,0,9.39999961853027,0.219999998807907,314,False,weekend
87,55,43,49.0,1,0,0,9.0,0.0,264,False,weekend
88,89,57,73.0,0,1,0,1.89999997615814,0.0,356,False,weekend
89,80,53,66.5,0,1,0,3.79999995231628,0.0,564,False,weekend
