,latitude,month,tst,sza
81,20,may,1030,26.1
82,20,may,1100,15.2
83,20,may,1130,8.8
84,20,may,1200,5.0
85,20,jun,400,
86,20,jun,430,
87,20,jun,500,
88,20,jun,530,89.2
89,20,jun,600,82.7
90,20,jun,630,76.0
91,20,jun,700,69.3
92,20,jun,730,62.5
93,20,jun,800,55.7
94,20,jun,830,48.8
95,20,jun,900,41.9
96,20,jun,930,35.0
97,20,jun,1000,28.1
98,20,jun,1030,21.1
99,20,jun,1100,14.2
100,20,jun,1130,7.3
101,20,jun,1200,2.0
102,20,jul,400,
103,20,jul,430,
104,20,jul,500,
105,20,jul,530,88.8
106,20,jul,600,82.3
107,20,jul,630,75.7
108,20,jul,700,69.1
109,20,jul,730,62.3
110,20,jul,800,55.5
111,20,jul,830,48.7
112,20,jul,900,41.8
113,20,jul,930,35.0
114,20,jul,1000,28.1
115,20,jul,1030,21.2
116,20,jul,1100,14.3
117,20,jul,1130,7.7
118,20,jul,1200,3.1
119,20,aug,400,
120,20,aug,430,
121,20,aug,500,
122,20,aug,530,
123,20,aug,600,83.8
124,20,aug,630,77.1
125,20,aug,700,70.2
126,20,aug,730,63.3
127,20,aug,800,56.4
128,20,aug,830,49.4
129,20,aug,900,42.4
130,20,aug,930,35.4
131,20,aug,1000,28.3
132,20,aug,1030,21.3
133,20,aug,1100,14.3
134,20,aug,1130,7.3
135,20,aug,1200,1.9
136,20,sep,400,
137,20,sep,430,
138,20,sep,500,
139,20,sep,530,
140,20,sep,600,87.2
141,20,sep,630,80.2
142,20,sep,700,73.2
143,20,sep,730,66.1
144,20,sep,800,59.1
145,20,sep,830,52.1
146,20,sep,900,45.1
147,20,sep,930,38.1
148,20,sep,1000,31.3
149,20,sep,1030,24.7
150,20,sep,1100,18.6
151,20,sep,1130,13.7
152,20,sep,1200,11.6
153,20,oct,400,
154,20,oct,430,
155,20,oct,500,
156,20,oct,530,
157,20,oct,600,
158,20,oct,630,84.1
159,20,oct,700,77.1
160,20,oct,730,70.2
161,20,oct,800,63.3
162,20,oct,830,56.5
163,20,oct,900,49.9
164,20,oct,930,43.5
165,20,oct,1000,37.5
166,20,oct,1030,32.0
167,20,oct,1100,27.4
168,20,oct,1130,24.3
169,20,oct,1200,23.1
170,20,nov,400,
171,20,nov,430,
172,20,nov,500,
173,20,nov,530,
174,20,nov,600,
175,20,nov,630,87.8
176,20,nov,700,81.3
177,20,nov,730,74.5
178,20,nov,800,68.3
179,20,nov,830,61.8
180,20,nov,900,56.0
181,20,nov,930,50.2
182,20,nov,1000,45.3
183,20,nov,1030,40.7
184,20,nov,1100,37.4
185,20,nov,1130,35.1
186,20,nov,1200,34.4
187,20,dec,400,
188,20,dec,430,
189,20,dec,500,
190,20,dec,530,
191,20,dec,600,
192,20,dec,630,
193,20,dec,700,84.3
194,20,dec,730,78.0
195,20,dec,800,71.8
196,20,dec,830,66.1
197,20,dec,900,60.5
198,20,dec,930,55.6
199,20,dec,1000,50.9
200,20,dec,1030,47.2
201,20,dec,1100,44.2
202,20,dec,1130,42.4
203,20,dec,1200,41.8
204,30,jan,400,
205,30,jan,430,
206,30,jan,500,
207,30,jan,530,
208,30,jan,600,
209,30,jan,630,
210,30,jan,700,89.4
211,30,jan,730,83.7
212,30,jan,800,78.3
213,30,jan,830,73.2
214,30,jan,900,68.4
215,30,jan,930,64.1
216,30,jan,1000,60.4
217,30,jan,1030,57.3
218,30,jan,1100,55.0
219,30,jan,1130,53.5
220,30,jan,1200,53.0
221,30,feb,400,
222,30,feb,430,
223,30,feb,500,
224,30,feb,530,
225,30,feb,600,
226,30,feb,630,
227,30,feb,700,86.2
228,30,feb,730,80.3
229,30,feb,800,74.6
230,30,feb,830,69.1
231,30,feb,900,64.1
232,30,feb,930,59.4
233,30,feb,1000,55.3
234,30,feb,1030,51.9
235,30,feb,1100,49.3
236,30,feb,1130,47.7
237,30,feb,1200,47.2
238,30,mar,400,
239,30,mar,430,
240,30,mar,500,
241,30,mar,530,
242,30,mar,600,
243,30,mar,630,87.5
244,30,mar,700,81.1
245,30,mar,730,74.9
246,30,mar,800,68.8
247,30,mar,830,62.9
248,30,mar,900,57.4
249,30,mar,930,52.2
250,30,mar,1000,47.5
251,30,mar,1030,43.5
252,30,mar,1100,40.3
253,30,mar,1130,38.4
254,30,mar,1200,37.7
255,30,apr,400,
256,30,apr,430,
257,30,apr,500,
258,30,apr,530,
259,30,apr,600,87.2
260,30,apr,630,81.4
261,30,apr,700,74.9
262,30,apr,730,68.5
263,30,apr,800,62.1
264,30,apr,830,55.8
265,30,apr,900,49.6
266,30,apr,930,43.8
267,30,apr,1000,38.2
268,30,apr,1030,33.3
269,30,apr,1100,29.3
270,30,apr,1130,26.5
271,30,apr,1200,25.5
272,30,may,400,
273,30,may,430,
274,30,may,500,
275,30,may,530,88.9
276,30,may,600,82.7
277,30,may,630,76.3
278,30,may,700,69.9
279,30,may,730,63.4
280,30,may,800,56.9
281,30,may,830,50.4
282,30,may,900,44.0
283,30,may,930,37.6
284,30,may,1000,31.4
285,30,may,1030,25.6
286,30,may,1100,20.4
287,30,may,1130,16.5
288,30,may,1200,15.0
289,30,jun,400,
290,30,jun,430,
291,30,jun,500,
292,30,jun,530,85.3
293,30,jun,600,79.2
294,30,jun,630,73.1
295,30,jun,700,66.8
296,30,jun,730,60.4
297,30,jun,800,54.0
298,30,jun,830,47.5
299,30,jun,900,41.0
300,30,jun,930,34.5
301,30,jun,1000,28.1
302,30,jun,1030,21.7
303,30,jun,1100,15.7
304,30,jun,1130,10.5
305,30,jun,1200,8.0
306,30,jul,400,
307,30,jul,430,
308,30,jul,500,
309,30,jul,530,84.7
310,30,jul,600,78.7
311,30,jul,630,72.5
312,30,jul,700,66.3
313,30,jul,730,60.0
314,30,jul,800,53.5
315,30,jul,830,47.1
316,30,jul,900,40.6
317,30,jul,930,34.1
318,30,jul,1000,27.7
319,30,jul,1030,21.2
320,30,jul,1100,15.1
321,30,jul,1130,9.6
322,30,jul,1200,6.9
323,30,aug,400,
324,30,aug,430,
325,30,aug,500,
326,30,aug,530,87.2
327,30,aug,600,81.0
328,30,aug,630,74.7
329,30,aug,700,68.3
330,30,aug,730,61.9
331,30,aug,800,55.4
332,30,aug,830,48.9
333,30,aug,900,42.4
334,30,aug,930,36.0
335,30,aug,1000,29.7
336,30,aug,1030,23.6
337,30,aug,1100,18.1
338,30,aug,1130,13.7
339,30,aug,1200,11.9
340,30,sep,400,
341,30,sep,430,
342,30,sep,500,
343,30,sep,530,
344,30,sep,600,85.9
345,30,sep,630,79.4
346,30,sep,700,72.9
347,30,sep,730,66.4
348,30,sep,800,60.0
349,30,sep,830,53.6
350,30,sep,900,47.3
351,30,sep,930,41.2
352,30,sep,1000,35.5
353,30,sep,1030,30.2
354,30,sep,1100,25.8
355,30,sep,1130,22.8
356,30,sep,1200,21.6
357,30,oct,400,
358,30,oct,430,
359,30,oct,500,
360,30,oct,530,
361,30,oct,600,
362,30,oct,630,85.1
363,30,oct,700,78.7
364,30,oct,730,72.4
365,30,oct,800,66.2
366,30,oct,830,60.1
367,30,oct,900,54.4
368,30,oct,930,48.8
369,30,oct,1000,43.8
370,30,oct,1030,39.5
371,30,oct,1100,36.1
372,30,oct,1130,33.9
373,30,oct,1200,33.1
374,30,nov,400,
375,30,nov,430,
376,30,nov,500,
377,30,nov,530,
378,30,nov,600,
379,30,nov,630,
380,30,nov,700,84.6
381,30,nov,730,78.4
382,30,nov,800,72.8
383,30,nov,830,67.1
384,30,nov,900,62.0
385,30,nov,930,57.0
386,30,nov,1000,53.0
387,30,nov,1030,49.3
388,30,nov,1100,46.7
389,30,nov,1130,44.9
390,30,nov,1200,44.4
391,30,dec,400,
392,30,dec,430,
393,30,dec,500,
394,30,dec,530,
395,30,dec,600,
396,30,dec,630,
397,30,dec,700,88.7
398,30,dec,730,82.8
399,30,dec,800,77.3
400,30,dec,830,72.2
401,30,dec,900,67.3
402,30,dec,930,63.0
403,30,dec,1000,59.2
404,30,dec,1030,56.0
405,30,dec,1100,53.7
406,30,dec,1130,52.2
407,30,dec,1200,51.8
408,40,jan,400,
409,40,jan,430,
410,40,jan,500,
411,40,jan,530,
412,40,jan,600,
413,40,jan,630,
414,40,jan,700,
415,40,jan,730,89.0
416,40,jan,800,84.2
417,40,jan,830,79.8
418,40,jan,900,75.7
419,40,jan,930,72.1
420,40,jan,1000,69.0
421,40,jan,1030,66.4
422,40,jan,1100,64.6
423,40,jan,1130,63.4
424,40,jan,1200,63.0
425,40,feb,400,
426,40,feb,430,
427,40,feb,500,
428,40,feb,530,
429,40,feb,600,
430,40,feb,630,
431,40,feb,700,
432,40,feb,730,84.8
433,40,feb,800,79.8
434,40,feb,830,75.2
435,40,feb,900,70.7
436,40,feb,930,67.0
437,40,feb,1000,63.5
438,40,feb,1030,60.9
439,40,feb,1100,58.8
440,40,feb,1130,57.6
441,40,feb,1200,57.2
442,40,mar,400,
443,40,mar,430,
444,40,mar,500,
445,40,mar,530,
446,40,mar,600,
447,40,mar,630,89.1
448,40,mar,700,83.7
449,40,mar,730,78.1
450,40,mar,800,72.8
451,40,mar,830,67.8
452,40,mar,900,63.1
453,40,mar,930,58.8
454,40,mar,1000,55.1
455,40,mar,1030,51.9
456,40,mar,1100,49.6
457,40,mar,1130,48.1
458,40,mar,1200,47.7
459,40,apr,400,
460,40,apr,430,
461,40,apr,500,
462,40,apr,530,
463,40,apr,600,87.1
464,40,apr,630,81.4
465,40,apr,700,75.6
466,40,apr,730,70.0
467,40,apr,800,64.4
468,40,apr,830,59.0
469,40,apr,900,53.8
470,40,apr,930,49.0
471,40,apr,1000,44.6
472,40,apr,1030,40.9
473,40,apr,1100,38.0
474,40,apr,1130,36.2
475,40,apr,1200,35.5
476,40,may,400,
477,40,may,430,
478,40,may,500,
479,40,may,530,85.9
480,40,may,600,80.5
481,40,may,630,74.7
482,40,may,700,68.9
483,40,may,730,63.2
484,40,may,800,57.5
485,40,may,830,51.8
486,40,may,900,46.3
487,40,may,930,41.0
488,40,may,1000,36.1
489,40,may,1030,31.7
490,40,may,1100,28.2
491,40,may,1130,25.8
492,40,may,1200,25.0
493,40,jun,400,
494,40,jun,430,
495,40,jun,500,86.8
496,40,jun,530,81.5
497,40,jun,600,76.1
498,40,jun,630,70.5
499,40,jun,700,64.9
500,40,jun,730,59.2
501,40,jun,800,53.4
502,40,jun,830,47.7
503,40,jun,900,42.0
504,40,jun,930,36.5
505,40,jun,1000,31.2
506,40,jun,1030,26.2
507,40,jun,1100,22.1
508,40,jun,1130,19.1
509,40,jun,1200,18.0
510,40,jul,400,
511,40,jul,430,
512,40,jul,500,86.0
513,40,jul,530,80.8
514,40,jul,600,75.4
515,40,jul,630,69.9
516,40,jul,700,64.3
517,40,jul,730,58.6
518,40,jul,800,52.8
519,40,jul,830,47.1
520,40,jul,900,41.4
521,40,jul,930,35.8
522,40,jul,1000,30.4
523,40,jul,1030,25.4
524,40,jul,1100,21.1
525,40,jul,1130,18.0
526,40,jul,1200,16.9
527,40,aug,400,
528,40,aug,430,
529,40,aug,500,89.3
530,40,aug,530,83.9
531,40,aug,600,78.4
532,40,aug,630,72.8
533,40,aug,700,67.1
534,40,aug,730,61.4
535,40,aug,800,55.6
536,40,aug,830,49.9
537,40,aug,900,44.4
538,40,aug,930,39.0
539,40,aug,1000,33.8
540,40,aug,1030,29.2
541,40,aug,1100,25.4
542,40,aug,1130,22.8
543,40,aug,1200,21.9
544,40,sep,400,
545,40,sep,430,
546,40,sep,500,
547,40,sep,530,
548,40,sep,600,84.6
549,40,sep,630,78.9
550,40,sep,700,73.2
551,40,sep,730,67.5
552,40,sep,800,61.8
553,40,sep,830,56.3
554,40,sep,900,51.0
555,40,sep,930,46.0
556,40,sep,1000,41.4
557,40,sep,1030,37.5
558,40,sep,1100,34.4
559,40,sep,1130,32.3
560,40,sep,1200,31.6
561,40,oct,400,
562,40,oct,430,
563,40,oct,500,
564,40,oct,530,
565,40,oct,600,
566,40,oct,630,86.3
567,40,oct,700,80.6
568,40,oct,730,75.1
569,40,oct,800,69.7
570,40,oct,830,64.5
571,40,oct,900,59.6
572,40,oct,930,55.1
573,40,oct,1000,51.2
574,40,oct,1030,47.8
575,40,oct,1100,45.3
576,40,oct,1130,43.6
577,40,oct,1200,43.1
578,40,nov,400,
579,40,nov,430,
580,40,nov,500,
581,40,nov,530,
582,40,nov,600,
583,40,nov,630,
584,40,nov,700,88.1
585,40,nov,730,82.6
586,40,nov,800,77.8
587,40,nov,830,72.8
588,40,nov,900,68.6
589,40,nov,930,64.4
590,40,nov,1000,61.1
591,40,nov,1030,58.2
592,40,nov,1100,56.1
593,40,nov,1130,54.7
594,40,nov,1200,54.5
595,40,dec,400,
596,40,dec,430,
597,40,dec,500,
598,40,dec,530,
599,40,dec,600,
600,40,dec,630,
601,40,dec,700,
602,40,dec,730,88.1
603,40,dec,800,83.3
604,40,dec,830,78.8
605,40,dec,900,74.7
606,40,dec,930,71.0
607,40,dec,1000,67.8
608,40,dec,1030,65.3
609,40,dec,1100,63.3
610,40,dec,1130,62.2
611,40,dec,1200,61.8
612,50,jan,400,
613,50,jan,430,
614,50,jan,500,
615,50,jan,530,
616,50,jan,600,
617,50,jan,630,
618,50,jan,700,
619,50,jan,730,
620,50,jan,800,
621,50,jan,830,86.5
622,50,jan,900,83.2
623,50,jan,930,80.2
624,50,jan,1000,77.7
625,50,jan,1030,75.7
626,50,jan,1100,74.2
627,50,jan,1130,73.3
628,50,jan,1200,73.0
629,50,feb,400,
630,50,feb,430,
631,50,feb,500,
632,50,feb,530,
633,50,feb,600,
634,50,feb,630,
635,50,feb,700,
636,50,feb,730,89.5
637,50,feb,800,85.3
638,50,feb,830,81.5
639,50,feb,900,78.0
640,50,feb,930,74.9
641,50,feb,1000,72.2
642,50,feb,1030,70.0
643,50,feb,1100,68.5
644,50,feb,1130,67.5
645,50,feb,1200,67.2
646,50,mar,400,
647,50,mar,430,
648,50,mar,500,
649,50,mar,530,
650,50,mar,600,
651,50,mar,630,
652,50,mar,700,86.3
653,50,mar,730,81.8
654,50,mar,800,77.4
655,50,mar,830,73.3
656,50,mar,900,69.6
657,50,mar,930,66.2
658,50,mar,1000,63.2
659,50,mar,1030,60.9
660,50,mar,1100,59.1
661,50,mar,1130,58.0
662,50,mar,1200,57.7
663,50,apr,400,
664,50,apr,430,
665,50,apr,500,
666,50,apr,530,
667,50,apr,600,86.6
668,50,apr,630,81.8
669,50,apr,700,76.9
670,50,apr,730,72.2
671,50,apr,800,67.6
672,50,apr,830,63.2
673,50,apr,900,59.1
674,50,apr,930,55.4
675,50,apr,1000,52.0
676,50,apr,1030,49.3
677,50,apr,1100,47.2
678,50,apr,1130,45.9
679,50,apr,1200,45.5
680,50,may,400,
681,50,may,430,
682,50,may,500,87.8
683,50,may,530,83.2
684,50,may,600,78.5
685,50,may,630,73.7
686,50,may,700,68.9
687,50,may,730,64.1
688,50,may,800,59.4
689,50,may,830,54.7
690,50,may,900,50.3
691,50,may,930,46.2
692,50,may,1000,42.5
693,50,may,1030,39.4
694,50,may,1100,37.0
695,50,may,1130,35.5
696,50,may,1200,35.0
697,50,jun,400,
698,50,jun,430,86.7
699,50,jun,500,82.4
700,50,jun,530,78.0
701,50,jun,600,73.3
702,50,jun,630,68.6
703,50,jun,700,63.8
704,50,jun,730,59.0
705,50,jun,800,54.2
706,50,jun,830,49.5
707,50,jun,900,44.9
708,50,jun,930,40.6
709,50,jun,1000,36.6
710,50,jun,1030,33.1
711,50,jun,1100,30.4
712,50,jun,1130,28.6
713,50,jun,1200,28.0
714,50,jul,400,89.7
715,50,jul,430,85.7
716,50,jul,500,81.5
717,50,jul,530,77.1
718,50,jul,600,72.5
719,50,jul,630,67.8
720,50,jul,700,63.0
721,50,jul,730,58.2
722,50,jul,800,53.4
723,50,jul,830,48.7
724,50,jul,900,44.1
725,50,jul,930,39.7
726,50,jul,1000,35.6
727,50,jul,1030,32.1
728,50,jul,1100,29.3
729,50,jul,1130,27.5
730,50,jul,1200,26.9
731,50,aug,400,
732,50,aug,430,89.7
733,50,aug,500,85.4
734,50,aug,530,80.8
735,50,aug,600,76.2
736,50,aug,630,71.4
737,50,aug,700,66.6
738,50,aug,730,61.8
739,50,aug,800,57.0
740,50,aug,830,52.4
741,50,aug,900,47.9
742,50,aug,930,43.7
743,50,aug,1000,39.9
744,50,aug,1030,36.6
745,50,aug,1100,34.1
746,50,aug,1130,32.5
747,50,aug,1200,31.9
748,50,sep,400,
749,50,sep,430,
750,50,sep,500,
751,50,sep,530,88.3
752,50,sep,600,83.6
753,50,sep,630,78.8
754,50,sep,700,74.0
755,50,sep,730,69.2
756,50,sep,800,64.6
757,50,sep,830,60.1
758,50,sep,900,55.9
759,50,sep,930,52.0
760,50,sep,1000,48.5
761,50,sep,1030,45.7
762,50,sep,1100,43.5
763,50,sep,1130,42.1
764,50,sep,1200,41.6
765,50,oct,400,
766,50,oct,430,
767,50,oct,500,
768,50,oct,530,
769,50,oct,600,
770,50,oct,630,87.6
771,50,oct,700,82.8
772,50,oct,730,78.2
773,50,oct,800,73.8
774,50,oct,830,69.6
775,50,oct,900,65.7
776,50,oct,930,62.1
777,50,oct,1000,59.1
778,50,oct,1030,56.5
779,50,oct,1100,54.7
780,50,oct,1130,53.5
781,50,oct,1200,53.1
782,50,nov,400,
783,50,nov,430,
784,50,nov,500,
785,50,nov,530,
786,50,nov,600,
787,50,nov,630,
788,50,nov,700,
789,50,nov,730,87.1
790,50,nov,800,83.0
791,50,nov,830,79.0
792,50,nov,900,75.5
793,50,nov,930,72.3
794,50,nov,1000,69.5
795,50,nov,1030,67.3
796,50,nov,1100,65.7
797,50,nov,1130,64.7
798,50,nov,1200,64.4
799,50,dec,400,
800,50,dec,430,
801,50,dec,500,
802,50,dec,530,
803,50,dec,600,
804,50,dec,630,
805,50,dec,700,
806,50,dec,730,
807,50,dec,800,89.2
808,50,dec,830,85.5
809,50,dec,900,82.1
810,50,dec,930,79.1
811,50,dec,1000,76.5
812,50,dec,1030,74.5
813,50,dec,1100,73.0
814,50,dec,1130,72.1
815,50,dec,1200,71.8
