,X,country,year,alcohol
313,4437,Kuwait,2008,0.1
314,4438,Kyrgyzstan,2008,4.72
315,4439,Laos,2008,6.99
316,4440,Latvia,2008,13.45
317,4441,Lebanon,2008,2.3
318,4442,Lesotho,2008,5.56
319,4443,Liberia,2008,5.07
320,4444,Libya,2008,0.1
321,4445,Lithuania,2008,16.3
322,4446,Luxembourg,2008,12.84
323,4447,Macedonia [FYROM],2008,8.94
324,4448,Madagascar,2008,1.32
325,4449,Malawi,2008,1.44
326,4450,Malaysia,2008,0.87
327,4451,Mali,2008,0.99
328,4452,Malta,2008,4.1
329,4453,Mauritania,2008,0.11
330,4454,Mauritius,2008,3.53
331,4455,Mexico,2008,8.55
332,4456,Micronesia,2008,5.25
333,4457,Moldova,2008,23.01
334,4458,Mongolia,2008,3.41
335,4459,Morocco,2008,1.24
336,4460,Mozambique,2008,2.27
337,4461,Myanmar [Burma],2008,0.58
338,4462,Namibia,2008,12.09
339,4463,Nauru,2008,4.81
340,4464,Nepal,2008,2.42
341,4465,Netherlands,2008,9.75
342,4466,New Zealand,2008,9.99
343,4467,Nicaragua,2008,5.21
344,4468,Niger,2008,0.34
345,4469,Nigeria,2008,12.72
346,4470,Niue,2008,8.69
347,4472,Norway,2008,8.35
348,4473,Oman,2008,0.92
349,4474,Pakistan,2008,0.05
350,4475,Palau,2008,9.86
351,4476,Panama,2008,7.3
352,4477,Papua New Guinea,2008,3.64
353,4478,Paraguay,2008,7.91
354,4479,Peru,2008,6.53
355,4480,Philippines,2008,6.08
356,4481,Poland,2008,14.43
357,4482,Portugal,2008,13.89
358,4484,Qatar,2008,1.29
359,4485,Romania,2008,16.15
360,4486,Russia,2008,16.23
361,4487,Rwanda,2008,9.99
362,4488,Saint Kitts and Nevis,2008,10.62
363,4489,Saint Lucia,2008,12.05
364,4490,Saint Vincent and the Grenadines,2008,4.99
365,4491,Samoa,2008,4.51
366,4492,São Tomé and Príncipe,2008,8.45
367,4493,Saudi Arabia,2008,0.34
368,4494,Senegal,2008,0.51
369,4495,Serbia,2008,12.21
370,4496,Seychelles,2008,12.11
371,4497,Sierra Leone,2008,9.48
372,4498,Singapore,2008,1.54
373,4499,Slovakia,2008,13.31
374,4500,Slovenia,2008,14.94
375,4501,Solomon Islands,2008,1.37
376,4502,Somalia,2008,0.5
377,4503,South Africa,2008,10.16
378,4504,South Korea,2008,19.15
379,4505,Spain,2008,11.83
380,4506,Sri Lanka,2008,0.81
381,4507,Sudan,2008,2.56
382,4508,Suriname,2008,6.56
383,4509,Swaziland,2008,5.05
384,4510,Sweden,2008,9.5
385,4511,Switzerland,2008,11.41
386,4512,Syria,2008,1.49
387,4513,Tajikistan,2008,3.39
388,4514,Tanzania,2008,7.86
389,4515,Thailand,2008,7.08
390,4516,Timor-Leste,2008,0.74
391,4517,Togo,2008,1.92
392,4518,Tonga,2008,3.92
393,4519,Trinidad and Tobago,2008,6.16
394,4520,Tunisia,2008,1.05
395,4521,Turkey,2008,3.02
396,4522,Turkmenistan,2008,5.0
397,4523,Tuvalu,2008,2.14
398,4524,Uganda,2008,16.4
399,4525,Ukraine,2008,17.47
400,4526,United Arab Emirates,2008,0.52
401,4527,United Kingdom,2008,13.24
402,4528,United States,2008,9.7
403,4529,Uruguay,2008,8.99
404,4530,Uzbekistan,2008,3.61
405,4531,Vanuatu,2008,0.96
406,4532,Venezuela,2008,7.6
407,4533,Vietnam,2008,3.91
408,4534,Yemen,2008,0.2
409,4535,Zambia,2008,3.56
410,4536,Zimbabwe,2008,4.96
