,state,demVote,year,south
133,South Carolina,95.63,1940,True
134,South Dakota,42.59,1940,False
135,Tennessee,67.25,1940,True
136,Texas,80.93,1940,True
137,Utah,62.25,1940,False
138,Vermont,44.92,1940,False
139,Virginia,68.08,1940,True
140,Washington,58.22,1940,False
141,West Virginia,57.1,1940,False
142,Wisconsin,50.15,1940,False
143,Wyoming,52.82,1940,False
144,Alabama,81.28,1944,True
145,Arizona,58.8,1944,False
146,Arkansas,69.95,1944,True
147,California,56.48,1944,False
148,Colorado,46.4,1944,False
149,Connecticut,52.3,1944,False
150,Delaware,54.38,1944,False
151,Florida,70.29,1944,True
152,Georgia,81.73,1944,True
153,Idaho,51.55,1944,False
154,Illinois,51.52,1944,False
155,Indiana,46.73,1944,False
156,Iowa,47.49,1944,False
157,Kansas,39.18,1944,False
158,Kentucky,54.45,1944,False
159,Louisiana,80.59,1944,True
160,Maine,47.45,1944,False
161,Maryland,51.85,1944,False
162,Massachusetts,52.8,1944,False
163,Michigan,50.19,1944,False
164,Minnesota,52.41,1944,False
165,Mississippi,93.56,1944,True
166,Missouri,51.37,1944,False
167,Montana,54.28,1944,False
168,Nebraska,41.42,1944,False
169,Nevada,54.62,1944,False
170,New Hampshire,52.11,1944,False
171,New Jersey,50.31,1944,False
172,New Mexico,53.47,1944,False
173,New York,52.31,1944,False
174,North Carolina,66.71,1944,True
175,North Dakota,45.48,1944,False
176,Ohio,49.82,1944,False
177,Oklahoma,55.57,1944,False
178,Oregon,51.78,1944,False
179,Pennsylvania,51.14,1944,False
180,Rhode Island,58.59,1944,False
181,South Carolina,87.64,1944,True
182,South Dakota,41.67,1944,False
183,Tennessee,60.45,1944,True
184,Texas,71.42,1944,True
185,Utah,60.44,1944,False
186,Vermont,42.93,1944,False
187,Virginia,62.36,1944,True
188,Washington,56.84,1944,False
189,West Virginia,54.89,1944,False
190,Wisconsin,48.57,1944,False
191,Wyoming,48.77,1944,False
192,Arizona,53.79,1948,False
193,Arkansas,61.72,1948,True
194,California,47.57,1948,False
195,Colorado,51.88,1948,False
196,Connecticut,47.91,1948,False
197,Delaware,48.76,1948,False
198,Florida,48.82,1948,True
199,Georgia,60.8,1948,True
200,Idaho,49.98,1948,False
201,Illinois,50.07,1948,False
202,Indiana,48.78,1948,False
203,Iowa,50.31,1948,False
204,Kansas,44.61,1948,False
205,Kentucky,56.74,1948,False
206,Louisiana,32.75,1948,True
207,Maine,42.27,1948,False
208,Maryland,48.01,1948,False
209,Massachusetts,54.66,1948,False
210,Michigan,47.57,1948,False
211,Minnesota,57.16,1948,False
212,Mississippi,10.09,1948,True
213,Missouri,58.11,1948,False
214,Montana,53.09,1948,False
215,Nebraska,45.85,1948,False
216,Nevada,50.37,1948,False
217,New Hampshire,46.66,1948,False
218,New Jersey,45.93,1948,False
219,New Mexico,56.38,1948,False
220,New York,45.01,1948,False
221,North Carolina,58.02,1948,True
222,North Dakota,43.41,1948,False
223,Ohio,49.48,1948,False
224,Oklahoma,62.75,1948,False
225,Oregon,46.4,1948,False
226,Pennsylvania,46.91,1948,False
227,Rhode Island,57.59,1948,False
228,South Carolina,24.14,1948,True
229,South Dakota,47.04,1948,False
230,Tennessee,49.14,1948,True
231,Texas,65.96,1948,True
232,Utah,53.98,1948,False
233,Vermont,36.92,1948,False
234,Virginia,47.89,1948,True
235,Washington,52.61,1948,False
236,West Virginia,57.32,1948,False
237,Wisconsin,50.7,1948,False
238,Wyoming,51.62,1948,False
239,Alabama,64.55,1952,True
240,Arizona,41.65,1952,False
241,Arkansas,55.9,1952,True
242,California,42.74,1952,False
243,Colorado,38.96,1952,False
244,Connecticut,43.91,1952,False
245,Delaware,47.88,1952,False
246,Florida,44.97,1952,True
247,Georgia,69.66,1952,True
248,Idaho,34.42,1952,False
249,Illinois,44.94,1952,False
250,Indiana,40.99,1952,False
251,Iowa,35.59,1952,False
252,Kansas,30.5,1952,False
253,Kentucky,49.91,1952,False
254,Louisiana,52.92,1952,True
255,Maine,33.77,1952,False
256,Maryland,43.83,1952,False
257,Massachusetts,45.46,1952,False
258,Michigan,43.97,1952,False
259,Minnesota,44.11,1952,False
260,Mississippi,60.44,1952,True
261,Missouri,49.14,1952,False
262,Montana,40.07,1952,False
263,Nebraska,30.85,1952,False
264,Nevada,38.55,1952,False
265,New Hampshire,39.08,1952,False
266,New Jersey,42.0,1952,False
267,New Mexico,44.28,1952,False
268,New York,43.55,1952,False
269,North Carolina,53.91,1952,True
270,North Dakota,28.39,1952,False
271,Ohio,43.24,1952,False
272,Oklahoma,45.41,1952,False
273,Oregon,38.93,1952,False
274,Pennsylvania,46.85,1952,False
275,Rhode Island,49.05,1952,False
276,South Carolina,50.72,1952,True
277,South Dakota,30.73,1952,False
278,Tennessee,49.71,1952,True
279,Texas,46.69,1952,True
280,Utah,41.07,1952,False
281,Vermont,28.23,1952,False
282,Virginia,43.36,1952,True
283,Washington,44.69,1952,False
284,West Virginia,51.92,1952,False
285,Wisconsin,38.71,1952,False
286,Wyoming,37.09,1952,False
287,Alabama,56.52,1956,True
288,Arizona,38.9,1956,False
289,Arkansas,52.46,1956,True
290,California,44.27,1956,False
291,Colorado,39.26,1956,False
292,Connecticut,36.26,1956,False
293,Delaware,44.62,1956,False
294,Florida,42.67,1956,True
295,Georgia,66.41,1956,True
296,Idaho,38.78,1956,False
297,Illinois,40.29,1956,False
298,Indiana,39.7,1956,False
299,Iowa,40.65,1956,False
300,Kansas,34.21,1956,False
301,Kentucky,45.21,1956,False
302,Louisiana,39.51,1956,True
303,Maine,29.13,1956,False
304,Maryland,39.94,1956,False
305,Massachusetts,40.37,1956,False
306,Michigan,44.15,1956,False
307,Minnesota,46.08,1956,False
308,Mississippi,58.22,1956,True
309,Missouri,50.11,1956,False
310,Montana,42.87,1956,False
311,Nebraska,34.49,1956,False
312,Nevada,42.03,1956,False
313,New Hampshire,33.84,1956,False
314,New Jersey,34.23,1956,False
315,New Mexico,41.78,1956,False
316,New York,38.73,1956,False
317,North Carolina,50.66,1956,True
318,North Dakota,38.09,1956,False
319,Ohio,38.89,1956,False
320,Oklahoma,44.87,1956,False
321,Oregon,44.72,1956,False
322,Pennsylvania,43.3,1956,False
323,Rhode Island,41.74,1956,False
324,South Carolina,45.37,1956,True
325,South Dakota,41.61,1956,False
326,Tennessee,48.6,1956,True
327,Texas,43.98,1956,True
328,Utah,35.44,1956,False
329,Vermont,27.81,1956,False
330,Virginia,38.36,1956,True
331,Washington,45.44,1956,False
332,West Virginia,45.92,1956,False
333,Wisconsin,37.84,1956,False
334,Wyoming,39.92,1956,False
335,Alabama,56.83,1960,True
336,Alaska,49.06,1960,False
337,Arizona,44.36,1960,False
338,Arkansas,50.19,1960,True
339,California,49.55,1960,False
340,Colorado,44.91,1960,False
341,Connecticut,53.73,1960,False
342,Delaware,50.63,1960,False
343,Florida,48.49,1960,True
344,Georgia,62.54,1960,True
345,Hawaii,50.03,1960,False
346,Idaho,46.22,1960,False
347,Illinois,49.98,1960,False
348,Indiana,44.6,1960,False
349,Iowa,43.22,1960,False
350,Kansas,39.1,1960,False
351,Kentucky,46.41,1960,False
352,Louisiana,50.42,1960,True
353,Maine,42.95,1960,False
354,Maryland,53.61,1960,False
355,Massachusetts,60.22,1960,False
356,Michigan,50.85,1960,False
357,Minnesota,50.58,1960,False
358,Mississippi,36.34,1960,True
359,Missouri,50.26,1960,False
360,Montana,48.6,1960,False
361,Nebraska,37.93,1960,False
362,Nevada,51.16,1960,False
363,New Hampshire,46.58,1960,False
364,New Jersey,49.96,1960,False
365,New Mexico,50.15,1960,False
366,New York,52.53,1960,False
367,North Carolina,52.11,1960,True
368,North Dakota,44.52,1960,False
369,Ohio,46.72,1960,False
370,Oklahoma,40.98,1960,False
371,Oregon,47.32,1960,False
372,Pennsylvania,51.06,1960,False
373,Rhode Island,63.63,1960,False
374,South Carolina,51.24,1960,True
375,South Dakota,41.79,1960,False
376,Tennessee,45.77,1960,True
377,Texas,50.52,1960,True
378,Utah,45.17,1960,False
379,Vermont,41.35,1960,False
380,Virginia,46.97,1960,True
381,Washington,48.27,1960,False
382,West Virginia,52.73,1960,False
383,Wisconsin,48.05,1960,False
384,Wyoming,44.99,1960,False
385,Alaska,65.91,1964,False
386,Arizona,49.45,1964,False
387,Arkansas,56.06,1964,True
388,California,59.11,1964,False
389,Colorado,61.27,1964,False
390,Connecticut,67.81,1964,False
391,Delaware,60.95,1964,False
392,DC,85.5,1964,False
393,Florida,51.15,1964,True
394,Georgia,45.87,1964,True
395,Hawaii,78.76,1964,False
396,Idaho,50.92,1964,False
397,Illinois,59.47,1964,False
398,Indiana,55.98,1964,False
399,Iowa,61.88,1964,False
400,Kansas,54.09,1964,False
401,Kentucky,64.01,1964,False
402,Louisiana,43.19,1964,True
403,Maine,68.84,1964,False
404,Maryland,65.47,1964,False
405,Massachusetts,76.19,1964,False
406,Michigan,66.7,1964,False
407,Minnesota,63.76,1964,False
408,Mississippi,12.86,1964,True
409,Missouri,64.05,1964,False
410,Montana,58.95,1964,False
411,Nebraska,52.61,1964,False
412,Nevada,58.58,1964,False
413,New Hampshire,63.89,1964,False
414,New Jersey,65.61,1964,False
415,New Mexico,59.03,1964,False
416,New York,68.56,1964,False
417,North Carolina,56.15,1964,True
418,North Dakota,57.97,1964,False
419,Ohio,62.94,1964,False
420,Oklahoma,55.75,1964,False
421,Oregon,63.72,1964,False
422,Pennsylvania,64.92,1964,False
423,Rhode Island,80.87,1964,False
424,South Carolina,41.11,1964,True
425,South Dakota,55.61,1964,False
426,Tennessee,55.5,1964,True
427,Texas,63.32,1964,True
428,Utah,54.71,1964,False
429,Vermont,66.3,1964,False
430,Virginia,53.54,1964,True
431,Washington,61.97,1964,False
432,West Virginia,67.94,1964,False
433,Wisconsin,62.09,1964,False
434,Wyoming,56.56,1964,False
435,Alabama,18.72,1968,True
436,Alaska,42.65,1968,False
437,Arizona,35.02,1968,False
438,Arkansas,30.36,1968,True
439,California,44.74,1968,False
440,Colorado,41.32,1968,False
441,Connecticut,49.48,1968,False
442,Delaware,41.61,1968,False
443,DC,81.82,1968,False
444,Florida,30.93,1968,True
445,Georgia,26.75,1968,True
446,Hawaii,59.83,1968,False
447,Idaho,30.66,1968,False
448,Illinois,44.15,1968,False
449,Indiana,37.99,1968,False
450,Iowa,40.82,1968,False
451,Kansas,34.72,1968,False
452,Kentucky,37.65,1968,False
453,Louisiana,28.21,1968,True
454,Maine,55.3,1968,False
455,Maryland,43.59,1968,False
456,Massachusetts,63.01,1968,False
457,Michigan,48.18,1968,False
458,Minnesota,54.0,1968,False
459,Mississippi,23.02,1968,True
460,Missouri,43.74,1968,False
461,Montana,41.59,1968,False
462,Nebraska,31.81,1968,False
463,Nevada,39.29,1968,False
464,New Hampshire,43.93,1968,False
465,New Jersey,43.97,1968,False
466,New Mexico,39.74,1968,False
467,New York,49.74,1968,False
468,North Carolina,29.24,1968,True
469,North Dakota,38.23,1968,False
470,Ohio,42.95,1968,False
471,Oklahoma,31.99,1968,False
472,Oregon,43.78,1968,False
473,Pennsylvania,47.59,1968,False
474,Rhode Island,64.03,1968,False
475,South Carolina,29.61,1968,True
476,South Dakota,41.96,1968,False
477,Tennessee,28.13,1968,True
478,Texas,41.14,1968,True
479,Utah,37.07,1968,False
480,Vermont,43.53,1968,False
481,Virginia,32.49,1968,True
482,Washington,47.23,1968,False
483,West Virginia,49.6,1968,False
484,Wisconsin,44.27,1968,False
485,Wyoming,35.51,1968,False
486,Alabama,25.54,1972,True
487,Alaska,34.62,1972,False
488,Arizona,31.87,1972,False
489,Arkansas,30.69,1972,True
490,California,41.54,1972,False
491,Colorado,34.59,1972,False
492,Connecticut,40.13,1972,False
493,Delaware,39.18,1972,False
494,DC,78.1,1972,False
495,Florida,27.8,1972,True
496,Georgia,24.65,1972,True
497,Hawaii,37.52,1972,False
498,Idaho,26.04,1972,False
499,Illinois,40.51,1972,False
500,Indiana,33.34,1972,False
501,Iowa,40.48,1972,False
502,Kansas,29.5,1972,False
503,Kentucky,34.77,1972,False
504,Louisiana,28.35,1972,True
505,Maine,38.51,1972,False
506,Maryland,37.36,1972,False
507,Massachusetts,54.2,1972,False
508,Michigan,41.82,1972,False
509,Minnesota,46.07,1972,False
510,Mississippi,19.63,1972,True
511,Missouri,37.57,1972,False
512,Montana,37.85,1972,False
513,Nebraska,29.5,1972,False
514,Nevada,36.32,1972,False
515,New Hampshire,34.86,1972,False
516,New Jersey,36.77,1972,False
517,New Mexico,36.53,1972,False
518,New York,41.18,1972,False
519,North Carolina,28.89,1972,True
520,North Dakota,35.79,1972,False
521,Ohio,38.07,1972,False
522,Oklahoma,24.0,1972,False
523,Oregon,42.33,1972,False
524,Pennsylvania,39.13,1972,False
525,Rhode Island,46.81,1972,False
526,South Carolina,27.72,1972,True
527,South Dakota,45.52,1972,False
528,Tennessee,29.75,1972,True
529,Texas,33.25,1972,True
530,Utah,26.39,1972,False
531,Vermont,36.47,1972,False
532,Virginia,30.12,1972,True
533,Washington,38.64,1972,False
534,West Virginia,36.39,1972,False
535,Wisconsin,43.72,1972,False
536,Wyoming,30.47,1972,False
537,Alabama,55.73,1976,True
538,Alaska,35.65,1976,False
539,Arizona,39.8,1976,False
540,Arkansas,64.96,1976,True
541,California,47.57,1976,False
542,Colorado,42.56,1976,False
543,Connecticut,46.9,1976,False
544,Delaware,51.98,1976,False
545,DC,81.63,1976,False
546,Florida,51.93,1976,True
547,Georgia,66.74,1976,True
548,Hawaii,50.59,1976,False
549,Idaho,36.78,1976,False
550,Illinois,48.13,1976,False
551,Indiana,45.7,1976,False
552,Iowa,48.46,1976,False
553,Kansas,44.94,1976,False
554,Kentucky,52.75,1976,False
555,Louisiana,51.73,1976,True
556,Maine,48.07,1976,False
557,Maryland,52.75,1976,False
558,Massachusetts,56.11,1976,False
559,Michigan,46.44,1976,False
560,Minnesota,54.9,1976,False
561,Mississippi,49.56,1976,True
562,Missouri,51.1,1976,False
563,Montana,45.4,1976,False
564,Nebraska,38.46,1976,False
565,Nevada,45.81,1976,False
566,New Hampshire,43.47,1976,False
567,New Jersey,47.92,1976,False
568,New Mexico,48.07,1976,False
569,New York,51.87,1976,False
570,North Carolina,55.24,1976,True
571,North Dakota,45.79,1976,False
572,Ohio,48.92,1976,False
573,Oklahoma,48.75,1976,False
574,Oregon,47.62,1976,False
575,Pennsylvania,50.4,1976,False
576,Rhode Island,55.36,1976,False
577,South Carolina,56.17,1976,True
578,South Dakota,48.91,1976,False
579,Tennessee,55.94,1976,True
580,Texas,51.14,1976,True
581,Utah,33.65,1976,False
582,Vermont,43.11,1976,False
583,Virginia,47.96,1976,True
584,Washington,46.11,1976,False
585,West Virginia,58.05,1976,False
586,Wisconsin,49.44,1976,False
587,Wyoming,39.81,1976,False
588,Alabama,47.45,1980,True
589,Alaska,26.41,1980,False
590,Arizona,28.24,1980,False
591,Arkansas,47.52,1980,True
592,California,35.91,1980,False
593,Colorado,31.07,1980,False
594,Connecticut,38.52,1980,False
595,Delaware,44.83,1980,False
596,DC,74.82,1980,False
597,Florida,38.5,1980,True
598,Georgia,55.79,1980,True
599,Hawaii,44.8,1980,False
600,Idaho,25.19,1980,False
601,Illinois,41.72,1980,False
602,Indiana,37.65,1980,False
603,Iowa,38.6,1980,False
604,Kansas,33.29,1980,False
605,Kentucky,47.61,1980,False
606,Louisiana,45.75,1980,True
607,Maine,42.25,1980,False
608,Maryland,47.14,1980,False
609,Massachusetts,41.75,1980,False
610,Michigan,42.5,1980,False
611,Minnesota,46.5,1980,False
612,Mississippi,48.09,1980,True
613,Missouri,44.35,1980,False
614,Montana,32.43,1980,False
615,Nebraska,26.04,1980,False
616,Nevada,26.89,1980,False
617,New Hampshire,28.35,1980,False
618,New Jersey,38.56,1980,False
619,New Mexico,36.73,1980,False
620,New York,43.99,1980,False
621,North Carolina,47.18,1980,True
622,North Dakota,26.26,1980,False
623,Ohio,40.91,1980,False
624,Oklahoma,34.97,1980,False
625,Oregon,38.67,1980,False
626,Pennsylvania,42.48,1980,False
627,Rhode Island,47.67,1980,False
628,South Carolina,48.14,1980,True
629,South Dakota,31.69,1980,False
630,Tennessee,48.41,1980,True
631,Texas,41.42,1980,True
632,Utah,20.57,1980,False
633,Vermont,38.42,1980,False
634,Virginia,40.31,1980,True
635,Washington,37.32,1980,False
636,West Virginia,49.81,1980,False
637,Wisconsin,43.18,1980,False
638,Wyoming,27.97,1980,False
639,Alabama,38.28,1984,True
640,Alaska,29.87,1984,False
641,Arizona,32.54,1984,False
642,Arkansas,38.29,1984,True
643,California,41.27,1984,False
644,Colorado,35.12,1984,False
645,Connecticut,38.83,1984,False
646,Delaware,39.93,1984,False
647,DC,85.38,1984,False
648,Florida,34.66,1984,True
649,Georgia,39.78,1984,True
650,Hawaii,43.82,1984,False
651,Idaho,26.39,1984,False
652,Illinois,43.3,1984,False
653,Indiana,37.68,1984,False
654,Iowa,45.89,1984,False
655,Kansas,32.6,1984,False
656,Kentucky,39.4,1984,False
657,Louisiana,38.18,1984,True
658,Maine,38.78,1984,False
659,Maryland,47.02,1984,False
660,Massachusetts,48.43,1984,False
661,Michigan,40.24,1984,False
662,Minnesota,49.72,1984,False
663,Mississippi,37.42,1984,True
664,Missouri,39.98,1984,False
665,Montana,38.18,1984,False
666,Nebraska,28.81,1984,False
667,Nevada,31.97,1984,False
668,New Hampshire,30.94,1984,False
669,New Jersey,39.2,1984,False
670,New Mexico,39.23,1984,False
671,New York,45.83,1984,False
672,North Carolina,37.89,1984,True
673,North Dakota,33.8,1984,False
674,Ohio,40.14,1984,False
675,Oklahoma,30.67,1984,False
676,Oregon,43.74,1984,False
677,Pennsylvania,45.99,1984,False
678,Rhode Island,48.02,1984,False
679,South Carolina,35.57,1984,True
680,South Dakota,36.53,1984,False
681,Tennessee,41.57,1984,True
682,Texas,36.11,1984,True
683,Utah,24.68,1984,False
684,Vermont,40.81,1984,False
685,Virginia,37.09,1984,True
686,Washington,42.86,1984,False
687,West Virginia,44.6,1984,False
688,Wisconsin,45.02,1984,False
689,Wyoming,28.24,1984,False
690,Alabama,39.86,1988,True
691,Alaska,36.27,1988,False
692,Arizona,38.74,1988,False
693,Arkansas,42.19,1988,True
694,California,47.56,1988,False
695,Colorado,45.28,1988,False
696,Connecticut,46.87,1988,False
697,Delaware,43.48,1988,False
698,DC,82.65,1988,False
699,Florida,38.51,1988,True
700,Georgia,39.5,1988,True
701,Hawaii,54.27,1988,False
702,Idaho,36.01,1988,False
703,Illinois,48.6,1988,False
704,Indiana,39.69,1988,False
705,Iowa,54.71,1988,False
706,Kansas,42.56,1988,False
707,Kentucky,43.88,1988,False
708,Louisiana,44.06,1988,True
709,Maine,43.88,1988,False
710,Maryland,48.2,1988,False
711,Massachusetts,53.23,1988,False
712,Michigan,45.67,1988,False
713,Minnesota,52.91,1988,False
714,Mississippi,39.07,1988,True
715,Missouri,47.84,1988,False
716,Montana,46.2,1988,False
717,Nebraska,39.2,1988,False
718,Nevada,37.92,1988,False
719,New Hampshire,36.29,1988,False
720,New Jersey,42.6,1988,False
721,New Mexico,46.9,1988,False
722,New York,51.62,1988,False
723,North Carolina,41.71,1988,True
724,North Dakota,42.97,1988,False
725,Ohio,44.15,1988,False
726,Oklahoma,41.28,1988,False
727,Oregon,51.28,1988,False
728,Pennsylvania,48.39,1988,False
729,Rhode Island,55.64,1988,False
730,South Carolina,37.58,1988,True
731,South Dakota,46.51,1988,False
732,Tennessee,41.55,1988,True
733,Texas,43.35,1988,True
734,Utah,32.05,1988,False
735,Vermont,47.58,1988,False
736,Virginia,39.23,1988,True
737,Washington,50.05,1988,False
738,West Virginia,52.2,1988,False
739,Wisconsin,51.41,1988,False
740,Wyoming,38.01,1988,False
741,Alabama,40.88,1992,True
742,Alaska,30.29,1992,False
743,Arizona,36.52,1992,False
744,Arkansas,53.21,1992,True
745,California,46.01,1992,False
746,Colorado,40.13,1992,False
747,Connecticut,42.21,1992,False
748,Delaware,43.51,1992,False
749,DC,84.64,1992,False
750,Florida,39.0,1992,True
751,Georgia,43.47,1992,True
752,Hawaii,48.09,1992,False
753,Idaho,28.42,1992,False
754,Illinois,48.58,1992,False
755,Indiana,36.79,1992,False
756,Iowa,43.29,1992,False
757,Kansas,33.74,1992,False
758,Kentucky,44.55,1992,False
759,Louisiana,45.58,1992,True
760,Maine,38.77,1992,False
761,Maryland,49.8,1992,False
762,Massachusetts,47.54,1992,False
763,Michigan,43.77,1992,False
764,Minnesota,43.48,1992,False
765,Mississippi,40.77,1992,True
766,Missouri,44.07,1992,False
767,Montana,37.63,1992,False
768,Nebraska,29.4,1992,False
769,Nevada,37.36,1992,False
770,New Hampshire,38.86,1992,False
771,New Jersey,42.95,1992,False
772,New Mexico,45.9,1992,False
773,New York,49.73,1992,False
774,North Carolina,42.65,1992,True
775,North Dakota,32.18,1992,False
776,Ohio,40.18,1992,False
777,Oklahoma,34.02,1992,False
778,Oregon,42.48,1992,False
779,Pennsylvania,45.15,1992,False
780,Rhode Island,47.04,1992,False
781,South Carolina,39.88,1992,True
782,South Dakota,37.14,1992,False
783,Tennessee,47.08,1992,True
784,Texas,37.08,1992,True
785,Utah,24.65,1992,False
786,Vermont,46.11,1992,False
787,Virginia,40.59,1992,True
788,Washington,43.4,1992,False
789,West Virginia,48.41,1992,False
790,Wisconsin,41.13,1992,False
791,Wyoming,33.98,1992,False
792,Alabama,43.16,1996,True
793,Alaska,33.27,1996,False
794,Arizona,46.52,1996,False
795,Arkansas,53.74,1996,True
796,California,51.1,1996,False
797,Colorado,44.43,1996,False
798,Connecticut,52.83,1996,False
799,Delaware,51.82,1996,False
800,DC,85.19,1996,False
801,Florida,48.02,1996,True
802,Georgia,45.84,1996,True
803,Hawaii,56.93,1996,False
804,Idaho,33.65,1996,False
805,Illinois,54.32,1996,False
806,Indiana,41.55,1996,False
807,Iowa,50.26,1996,False
808,Kansas,36.08,1996,False
809,Kentucky,45.84,1996,False
810,Louisiana,52.01,1996,True
811,Maine,51.62,1996,False
812,Maryland,54.25,1996,False
813,Massachusetts,61.47,1996,False
814,Michigan,51.69,1996,False
815,Minnesota,51.1,1996,False
816,Mississippi,44.08,1996,True
817,Missouri,47.54,1996,False
818,Montana,41.23,1996,False
819,Nebraska,34.95,1996,False
820,Nevada,43.93,1996,False
821,New Hampshire,49.32,1996,False
822,New Jersey,53.72,1996,False
823,New Mexico,49.18,1996,False
824,New York,59.47,1996,False
825,North Carolina,44.04,1996,True
826,North Dakota,40.13,1996,False
827,Ohio,47.38,1996,False
828,Oklahoma,40.45,1996,False
829,Oregon,47.15,1996,False
830,Pennsylvania,49.17,1996,False
831,Rhode Island,59.71,1996,False
832,South Carolina,43.96,1996,True
833,South Dakota,43.03,1996,False
834,Tennessee,48.0,1996,True
835,Texas,43.83,1996,True
836,Utah,33.3,1996,False
837,Vermont,53.35,1996,False
838,Virginia,45.15,1996,True
839,Washington,49.84,1996,False
840,West Virginia,51.51,1996,False
841,Wisconsin,48.81,1996,False
842,Wyoming,36.84,1996,False
843,Alabama,41.59,2000,True
844,Alaska,27.67,2000,False
845,Arizona,44.67,2000,False
846,Arkansas,45.86,2000,True
847,California,53.45,2000,False
848,Colorado,42.39,2000,False
849,Connecticut,55.91,2000,False
850,Delaware,54.96,2000,False
851,DC,85.16,2000,False
852,Florida,48.84,2000,True
853,Georgia,42.98,2000,True
854,Hawaii,55.79,2000,False
