,id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
28,snydepo01,1873,1,WS5,,28,108,16,21,2,0,0,4.0,0.0,1.0,3,3.0,,,,,
29,startjo01,1873,1,NY2,,53,251,42,67,8,3,1,28.0,1.0,0.0,4,0.0,,,,,
30,suttoez01,1873,1,PH1,,51,242,51,81,7,6,0,33.0,1.0,3.0,2,2.0,,,,,
31,whitede01,1873,1,BS1,,60,310,79,121,15,6,0,66.0,6.0,2.0,0,2.0,,,,,
32,yorkto01,1873,1,BL1,,57,277,70,84,10,7,2,49.0,3.0,1.0,3,3.0,,,,,
33,ansonca01,1874,1,PH1,,55,259,51,87,8,3,0,37.0,6.0,0.0,4,1.0,,,,,
34,burdoja01,1874,1,NY2,,61,273,45,75,11,4,1,27.0,4.0,0.0,1,5.0,,,,,
35,forceda01,1874,1,CH2,,59,294,61,92,9,0,0,26.0,4.0,0.0,3,1.0,,,,,
36,gerhajo01,1874,1,BL1,,14,61,10,19,0,1,0,6.0,0.0,0.0,0,0.0,,,,,
37,hinespa01,1874,1,CH2,,59,271,47,80,10,2,0,34.0,4.0,1.0,4,4.0,,,,,
38,mathebo01,1874,1,NY2,,65,298,46,72,6,1,0,30.0,2.0,0.0,3,3.0,,,,,
39,nelsoca01,1874,1,NY2,,65,297,55,73,7,5,0,32.0,6.0,0.0,9,5.0,,,,,
40,orourji01,1874,1,BS1,,70,331,82,104,15,8,5,61.0,11.0,1.0,4,5.0,,,,,
41,shaffor01,1874,1,HR1,,9,35,6,8,0,0,1,3.0,0.0,0.0,0,3.0,,,,,
42,shaffor01,1874,2,NY2,,1,5,1,1,0,0,0,0.0,0.0,0.0,0,0.0,,,,,
43,snydepo01,1874,1,BL1,,39,151,24,33,4,0,1,17.0,0.0,0.0,1,2.0,,,,,
44,startjo01,1874,1,NY2,,63,306,67,96,13,3,2,45.0,5.0,0.0,4,0.0,,,,,
45,suttoez01,1874,1,PH1,,55,243,54,71,10,3,0,28.0,6.0,4.0,0,2.0,,,,,
46,whitede01,1874,1,BS1,,70,353,75,106,5,7,3,52.0,1.0,1.0,4,0.0,,,,,
47,yorkto01,1874,1,PH2,,50,224,36,56,4,7,0,37.0,1.0,0.0,5,4.0,,,,,
48,ansonca01,1875,1,PH1,,69,326,84,106,15,3,0,58.0,11.0,6.0,4,2.0,,,,,
49,burdoja01,1875,1,HR1,,74,350,72,103,12,5,0,35.0,20.0,11.0,3,13.0,,,,,
50,forceda01,1875,1,PH1,,77,386,78,120,22,5,0,49.0,6.0,3.0,7,5.0,,,,,
51,galvipu01,1875,1,SL2,,13,46,8,6,2,1,0,2.0,3.0,0.0,0,1.0,,,,,
52,gerhajo01,1875,1,NY2,,58,252,29,54,7,3,0,20.0,0.0,5.0,0,2.0,,,,,
53,hinespa01,1875,1,CH2,,69,308,45,101,14,4,0,36.0,6.0,9.0,1,0.0,,,,,
54,jonesch01,1875,1,KEO,,12,47,4,13,2,4,0,10.0,1.0,1.0,0,5.0,,,,,
55,jonesch01,1875,2,HR1,,1,4,1,0,0,0,0,0.0,0.0,0.0,0,1.0,,,,,
56,mathebo01,1875,1,NY2,,70,264,23,48,6,2,0,15.0,1.0,2.0,2,5.0,,,,,
57,nelsoca01,1875,1,NY2,,70,276,28,55,7,1,0,23.0,4.0,2.0,9,0.0,,,,,
58,orourji01,1875,1,BS1,,75,358,97,106,13,7,6,72.0,17.0,5.0,9,6.0,,,,,
59,shaffor01,1875,1,PH2,,19,70,10,17,2,1,0,6.0,2.0,0.0,0,4.0,,,,,
60,snydepo01,1875,1,PH2,,66,263,38,64,8,2,1,25.0,3.0,8.0,4,4.0,,,,,
61,startjo01,1875,1,NY2,,69,314,58,90,10,5,4,30.0,1.0,4.0,3,0.0,,,,,
62,suttoez01,1875,1,PH1,,75,358,83,116,11,7,1,59.0,13.0,10.0,1,3.0,,,,,
63,whitede01,1875,1,BS1,,80,371,76,136,23,3,1,60.0,2.0,3.0,3,2.0,,,,,
64,yorkto01,1875,1,HR1,,86,375,68,111,14,7,0,37.0,7.0,3.0,3,6.0,,,,,
65,ansonca01,1876,1,CHN,NL,66,309,63,110,9,7,2,59.0,,,12,8.0,,,,,
66,burdoja01,1876,1,HAR,NL,69,309,66,80,9,1,0,23.0,,,13,16.0,,,,,
67,forceda01,1876,1,PHN,NL,60,284,48,66,6,0,0,17.0,,,5,3.0,,,,,
68,forceda01,1876,2,NY3,NL,1,3,0,0,0,0,0,0.0,,,0,0.0,,,,,
69,gerhajo01,1876,1,LS1,NL,65,292,33,76,10,3,2,18.0,,,3,5.0,,,,,
70,hinespa01,1876,1,CHN,NL,64,305,62,101,21,3,2,59.0,,,1,3.0,,,,,
71,jonesch01,1876,1,CN1,NL,64,276,40,79,17,4,4,38.0,,,7,17.0,,,,,
72,mathebo01,1876,1,NY3,NL,56,218,19,40,4,1,0,9.0,,,3,2.0,,,,,
73,morrijo01,1876,1,BSN,NL,66,278,38,73,5,2,0,26.0,,,3,5.0,,,,,
74,orourji01,1876,1,BSN,NL,70,312,61,102,17,3,2,43.0,,,15,17.0,,,,,
75,snydepo01,1876,1,LS1,NL,56,224,21,44,4,1,1,9.0,,,2,7.0,,,,,
76,startjo01,1876,1,NY3,NL,56,264,40,73,6,0,0,21.0,,,1,2.0,,,,,
77,suttoez01,1876,1,PHN,NL,54,236,45,70,12,7,1,31.0,,,3,2.0,,,,,
78,whitede01,1876,1,CHN,NL,66,303,66,104,18,1,1,60.0,,,7,3.0,,,,,
79,yorkto01,1876,1,HAR,NL,67,263,47,68,12,7,1,39.0,,,10,4.0,,,,,
80,ansonca01,1877,1,CHN,NL,59,255,52,86,19,1,0,32.0,,,9,3.0,,,,,
81,burdoja01,1877,1,HAR,NL,58,277,35,72,6,0,0,9.0,,,2,16.0,,,,,
82,forceda01,1877,1,SL3,NL,58,225,24,59,5,3,0,22.0,,,11,15.0,,,,,
83,gerhajo01,1877,1,LS1,NL,59,250,41,76,6,5,1,35.0,,,5,8.0,,,,,
84,hinespa01,1877,1,CHN,NL,60,261,44,73,11,7,0,23.0,,,1,8.0,,,,,
85,jonesch01,1877,1,CN1,NL,17,69,16,21,3,3,1,10.0,0.0,0.0,4,8.0,0.0,0.0,0.0,0.0,
86,jonesch01,1877,2,CHN,NL,2,8,1,3,1,0,0,2.0,,,1,0.0,,,,,
87,jonesch01,1877,3,CN1,NL,38,163,36,51,8,7,1,26.0,,,10,17.0,,,,,
88,mathebo01,1877,1,CN1,NL,15,59,5,10,0,0,0,0.0,,,1,2.0,,,,,
89,morrijo01,1877,1,BSN,NL,61,242,47,73,5,1,0,28.0,,,6,15.0,,,,,
90,orourji01,1877,1,BSN,NL,61,265,68,96,14,4,0,23.0,,,20,9.0,,,,,
91,shaffor01,1877,1,LS1,NL,61,260,38,74,9,5,3,34.0,,,9,17.0,,,,,
92,snydepo01,1877,1,LS1,NL,61,248,23,64,7,2,2,28.0,,,3,14.0,,,,,
93,startjo01,1877,1,HAR,NL,60,271,55,90,3,6,1,21.0,,,6,2.0,,,,,
94,suttoez01,1877,1,BSN,NL,58,253,43,74,10,6,0,39.0,,,4,10.0,,,,,
95,whitede01,1877,1,BSN,NL,59,266,51,103,14,11,2,49.0,,,8,3.0,,,,,
96,yorkto01,1877,1,HAR,NL,56,237,43,67,16,7,1,37.0,,,3,11.0,,,,,
97,ansonca01,1878,1,CHN,NL,60,261,55,89,12,2,0,40.0,,,13,1.0,,,,,
98,bennech01,1878,1,ML2,NL,49,184,16,45,9,0,1,12.0,,,10,26.0,,,,,
99,burdoja01,1878,1,BSN,NL,60,246,37,64,12,6,0,25.0,,,3,17.0,,,,,
100,gerhajo01,1878,1,CN1,NL,60,259,46,77,7,2,0,28.0,,,7,14.0,,,,,
101,hinespa01,1878,1,PRO,NL,62,257,42,92,13,4,4,50.0,,,2,10.0,,,,,
102,jonesch01,1878,1,CN1,NL,61,261,50,81,11,7,3,39.0,,,4,17.0,,,,,
103,kellyki01,1878,1,CN1,NL,60,237,29,67,7,1,0,27.0,,,7,7.0,,,,,
104,morrijo01,1878,1,BSN,NL,60,233,26,56,5,1,0,23.0,,,5,16.0,,,,,
105,nelsoca01,1878,1,IN1,NL,19,84,12,11,1,0,0,5.0,,,5,11.0,,,,,
106,orourji01,1878,1,BSN,NL,60,255,44,71,17,7,1,29.0,,,5,21.0,,,,,
107,shaffor01,1878,1,IN1,NL,63,266,48,90,19,6,0,30.0,,,13,20.0,,,,,
108,snydepo01,1878,1,BSN,NL,60,226,21,48,5,0,0,14.0,,,1,19.0,,,,,
109,startjo01,1878,1,CHN,NL,61,285,58,100,12,5,1,27.0,,,2,3.0,,,,,
110,suttoez01,1878,1,BSN,NL,60,239,31,54,9,3,1,29.0,,,2,14.0,,,,,
111,wardjo01,1878,1,PRO,NL,37,138,14,27,5,4,1,15.0,,,2,13.0,,,,,
112,whitede01,1878,1,CN1,NL,61,258,41,81,4,1,0,29.0,,,10,5.0,,,,,
113,yorkto01,1878,1,PRO,NL,62,269,56,83,19,10,1,26.0,,,8,19.0,,,,,
114,ansonca01,1879,1,CHN,NL,51,227,40,72,20,1,0,34.0,,,2,2.0,,,,,
115,broutda01,1879,1,TRN,NL,39,168,17,46,12,1,4,17.0,,,1,18.0,,,,,
116,burdoja01,1879,1,BSN,NL,84,359,64,86,10,3,0,36.0,,,9,28.0,,,,,
117,forceda01,1879,1,BFN,NL,79,316,36,66,5,2,0,8.0,,,13,37.0,,,,,
118,galvipu01,1879,1,BFN,NL,67,265,34,66,11,6,0,27.0,,,1,56.0,,,,,
119,gerhajo01,1879,1,CN1,NL,79,313,22,62,12,3,1,39.0,,,3,19.0,,,,,
120,glassja01,1879,1,CL2,NL,80,325,31,68,9,3,0,29.0,,,6,24.0,,,,,
121,gorege01,1879,1,CHN,NL,63,266,43,70,17,4,0,32.0,,,8,30.0,,,,,
122,hinespa01,1879,1,PRO,NL,85,409,81,146,25,10,2,52.0,,,8,16.0,,,,,
123,jonesch01,1879,1,BSN,NL,83,355,85,112,22,10,9,62.0,,,29,38.0,,,,,
124,kellyki01,1879,1,CN1,NL,77,345,78,120,20,12,2,47.0,,,8,14.0,,,,,
125,mathebo01,1879,1,PRO,NL,43,173,25,35,2,0,1,10.0,,,7,12.0,,,,,
126,morrijo01,1879,1,BSN,NL,84,348,56,98,18,5,0,49.0,,,14,32.0,,,,,
127,nelsoca01,1879,1,TRN,NL,28,106,17,28,7,1,0,10.0,,,8,4.0,,,,,
128,orourji01,1879,1,PRO,NL,81,362,69,126,19,9,1,46.0,,,13,10.0,,,,,
129,purcebl01,1879,1,SR1,NL,63,277,32,72,6,3,0,25.0,,,3,13.0,,,,,
130,purcebl01,1879,2,CN1,NL,12,50,10,11,0,0,0,4.0,,,0,3.0,,,,,
131,richaha01,1879,1,BFN,NL,79,336,54,95,18,10,0,37.0,,,16,30.0,,,,,
132,shaffor01,1879,1,CHN,NL,73,316,53,96,13,0,0,35.0,,,6,28.0,,,,,
133,snydepo01,1879,1,BSN,NL,81,329,42,78,16,3,2,35.0,,,5,31.0,,,,,
134,startjo01,1879,1,PRO,NL,66,317,70,101,11,5,2,37.0,,,7,4.0,,,,,
135,suttoez01,1879,1,BSN,NL,84,339,54,84,13,4,0,34.0,,,2,18.0,,,,,
136,wardjo01,1879,1,PRO,NL,83,364,71,104,9,4,2,41.0,,,7,14.0,,,,,
137,whitede01,1879,1,CN1,NL,78,333,55,110,16,6,1,52.0,,,6,9.0,,,,,
138,yorkto01,1879,1,PRO,NL,81,342,69,106,25,5,1,50.0,,,19,28.0,,,,,
139,ansonca01,1880,1,CHN,NL,86,356,54,120,24,1,1,74.0,,,14,12.0,,,,,
140,bennech01,1880,1,WOR,NL,51,193,20,44,9,3,0,18.0,,,10,30.0,,,,,
141,broutda01,1880,1,TRN,NL,3,12,0,2,0,0,0,1.0,,,1,0.0,,,,,
142,burdoja01,1880,1,BSN,NL,86,356,58,90,17,4,2,35.0,,,8,26.0,,,,,
143,connoro01,1880,1,TRN,NL,83,340,53,113,18,8,3,47.0,,,13,21.0,,,,,
144,ewingbu01,1880,1,TRN,NL,13,45,1,8,1,0,0,5.0,,,1,3.0,,,,,
145,forceda01,1880,1,BFN,NL,81,290,22,49,10,0,0,17.0,,,10,35.0,,,,,
146,galvipu01,1880,1,BFN,NL,66,241,25,51,9,2,0,12.0,,,5,57.0,,,,,
147,glassja01,1880,1,CL2,NL,77,296,37,72,13,3,0,27.0,,,2,21.0,,,,,
148,gorege01,1880,1,CHN,NL,77,322,70,116,23,2,2,47.0,,,21,10.0,,,,,
149,hinespa01,1880,1,PRO,NL,85,374,64,115,20,2,3,35.0,,,13,17.0,,,,,
150,jonesch01,1880,1,BSN,NL,66,280,44,84,15,3,5,37.0,,,11,27.0,,,,,
151,keefeti01,1880,1,TRN,NL,12,43,4,10,3,0,0,3.0,,,1,12.0,,,,,
152,kellyki01,1880,1,CHN,NL,84,344,72,100,17,9,1,60.0,,,12,22.0,,,,,
153,lathaar01,1880,1,BFN,NL,22,79,9,10,3,1,0,3.0,,,1,8.0,,,,,
154,morrijo01,1880,1,BSN,NL,86,342,51,81,16,8,2,44.0,,,11,37.0,,,,,
155,orourji01,1880,1,BSN,NL,86,363,71,100,20,11,6,45.0,,,21,8.0,,,,,
156,purcebl01,1880,1,CN1,NL,77,325,48,95,13,6,1,24.0,,,5,13.0,,,,,
157,richaha01,1880,1,BFN,NL,83,343,48,89,18,8,0,17.0,,,14,37.0,,,,,
158,shaffor01,1880,1,CL2,NL,83,338,62,90,14,9,0,21.0,,,17,36.0,,,,,
159,smithpo01,1880,1,CN1,NL,83,334,35,69,10,9,0,27.0,,,6,36.0,,,,,
160,startjo01,1880,1,PRO,NL,82,345,53,96,14,6,0,27.0,,,13,20.0,,,,,
161,stoveha01,1880,1,WOR,NL,83,355,76,94,21,14,6,28.0,,,12,46.0,,,,,
162,suttoez01,1880,1,BSN,NL,76,288,41,72,9,2,0,25.0,,,7,7.0,,,,,
163,wardjo01,1880,1,PRO,NL,86,356,53,81,12,2,0,27.0,,,6,16.0,,,,,
164,whitede01,1880,1,CN1,NL,35,141,21,42,4,2,0,7.0,,,9,7.0,,,,,
165,woodge01,1880,1,WOR,NL,81,327,37,80,16,5,0,28.0,,,10,37.0,,,,,
166,yorkto01,1880,1,PRO,NL,53,203,21,43,9,2,0,18.0,,,8,29.0,,,,,
167,ansonca01,1881,1,CHN,NL,84,343,67,137,21,7,1,82.0,,,26,4.0,,,,,
168,bennech01,1881,1,DTN,NL,76,299,44,90,18,7,7,64.0,,,18,37.0,,,,,
169,broutda01,1881,1,BFN,NL,65,270,60,86,18,9,8,45.0,,,18,22.0,,,,,
170,burdoja01,1881,1,BSN,NL,73,282,36,67,12,4,1,24.0,,,7,18.0,,,,,
171,connoro01,1881,1,TRN,NL,85,367,55,107,17,6,2,31.0,,,15,20.0,,,,,
172,dennyje01,1881,1,PRO,NL,85,320,38,77,16,2,1,24.0,,,5,44.0,,,,,
173,ewingbu01,1881,1,TRN,NL,67,272,40,68,14,7,0,25.0,,,7,8.0,,,,,
174,forceda01,1881,1,BFN,NL,75,278,21,50,9,1,0,15.0,,,11,29.0,,,,,
175,galvipu01,1881,1,BFN,NL,62,236,19,50,12,4,0,21.0,,,3,70.0,,,,,
176,gerhajo01,1881,1,DTN,NL,80,297,35,72,13,6,0,36.0,,,7,31.0,,,,,
177,glassja01,1881,1,CL2,NL,85,335,49,86,9,5,0,33.0,,,15,8.0,,,,,
178,gorege01,1881,1,CHN,NL,73,309,86,92,18,9,1,44.0,,,27,23.0,,,,,
179,hinespa01,1881,1,PRO,NL,80,361,65,103,27,5,2,31.0,,,13,12.0,,,,,
180,keefeti01,1881,1,TRN,NL,46,152,18,35,7,1,0,19.0,,,21,26.0,,,,,
181,kellyki01,1881,1,CHN,NL,82,353,84,114,27,3,2,55.0,,,16,14.0,,,,,
182,mathebo01,1881,1,PRO,NL,16,57,6,11,1,0,0,4.0,,,5,6.0,,,,,
183,mathebo01,1881,2,BSN,NL,19,71,2,12,2,0,0,4.0,,,0,5.0,,,,,
184,morrijo01,1881,1,BSN,NL,81,311,47,90,19,3,1,39.0,,,12,30.0,,,,,
185,mullato01,1881,1,DTN,NL,5,19,0,5,0,0,0,1.0,,,0,0.0,,,,,
186,nelsoca01,1881,1,WOR,NL,24,103,13,29,1,0,1,15.0,,,5,6.0,,,,,
187,orourji01,1881,1,BFN,NL,83,348,71,105,21,7,0,30.0,,,27,18.0,,,,,
188,purcebl01,1881,1,CL2,NL,20,80,3,14,2,1,0,4.0,,,5,8.0,,,,,
189,purcebl01,1881,2,BFN,NL,30,113,15,33,7,2,0,17.0,,,8,8.0,,,,,
190,richaha01,1881,1,BFN,NL,83,344,62,100,18,9,2,53.0,,,12,27.0,,,,,
191,shaffor01,1881,1,CL2,NL,85,343,48,88,13,6,1,34.0,,,23,20.0,,,,,
192,smithpo01,1881,1,CL2,NL,10,34,1,4,0,0,0,3.0,,,0,8.0,,,,,
193,smithpo01,1881,2,BFN,NL,3,11,3,0,0,0,0,1.0,,,3,5.0,,,,,
194,smithpo01,1881,3,WOR,NL,11,41,1,3,0,0,0,2.0,,,3,5.0,,,,,
195,snydepo01,1881,1,BSN,NL,62,219,14,50,8,0,0,16.0,,,3,23.0,,,,,
196,startjo01,1881,1,PRO,NL,79,348,56,114,12,6,0,29.0,,,9,7.0,,,,,
197,stoveha01,1881,1,WOR,NL,75,341,57,92,25,7,2,30.0,,,12,23.0,,,,,
198,suttoez01,1881,1,BSN,NL,83,333,43,97,12,4,0,31.0,,,13,9.0,,,,,
199,wardjo01,1881,1,PRO,NL,85,357,56,87,18,6,0,53.0,,,5,10.0,,,,,
200,whitede01,1881,1,BFN,NL,78,319,58,99,24,4,0,53.0,,,9,8.0,,,,,
201,woodge01,1881,1,DTN,NL,80,337,54,100,18,9,2,32.0,,,19,32.0,,,,,
202,yorkto01,1881,1,PRO,NL,85,316,57,96,23,5,2,47.0,,,29,26.0,,,,,
203,brownpe01,1882,1,LS2,AA,69,288,67,109,17,3,5,,0.0,,26,,,,,,
204,brownto01,1882,1,BL2,AA,45,181,30,55,5,2,1,23.0,0.0,,6,,,,,,
205,mcphebi01,1882,1,CN2,AA,78,311,43,71,8,7,1,31.0,0.0,,11,,,,,,
206,mullato01,1882,1,LS2,AA,77,303,46,78,13,1,0,,0.0,,13,,,,,,
207,smithpo01,1882,1,PH4,AA,20,65,10,6,0,0,0,2.0,0.0,,12,,,,,,
208,smithpo01,1882,2,LS2,AA,3,11,1,2,0,0,0,,0.0,,0,,,,,,
209,snydepo01,1882,1,CN2,AA,72,309,49,90,12,2,1,50.0,0.0,,9,,,,,,
210,ansonca01,1882,1,CHN,NL,82,348,69,126,29,8,1,83.0,,,20,7.0,,,,,
211,bennech01,1882,1,DTN,NL,84,342,43,103,16,10,5,51.0,,,20,33.0,,,,,
212,broutda01,1882,1,BFN,NL,84,351,71,129,23,11,6,63.0,,,21,7.0,,,,,
213,burdoja01,1882,1,BSN,NL,83,319,36,76,6,7,0,27.0,,,9,24.0,,,,,
214,connoro01,1882,1,TRN,NL,81,349,65,115,22,18,4,42.0,,,13,20.0,,,,,
215,dennyje01,1882,1,PRO,NL,84,329,54,81,10,9,2,42.0,,,4,46.0,,,,,
216,ewingbu01,1882,1,TRN,NL,74,328,67,89,16,11,2,29.0,,,10,15.0,,,,,
217,forceda01,1882,1,BFN,NL,73,278,39,67,10,1,1,28.0,,,12,17.0,,,,,
218,galvipu01,1882,1,BFN,NL,54,206,21,44,7,4,0,17.0,,,2,49.0,,,,,
219,glassja01,1882,1,CL2,NL,84,358,66,104,27,9,4,46.0,,,13,9.0,,,,,
220,gorege01,1882,1,CHN,NL,84,367,99,117,15,7,3,51.0,,,29,19.0,,,,,
221,hinespa01,1882,1,PRO,NL,84,379,73,117,28,10,4,34.0,,,10,14.0,,,,,
222,keefeti01,1882,1,TRN,NL,53,189,24,43,8,7,1,19.0,,,17,46.0,,,,,
223,kellyki01,1882,1,CHN,NL,84,377,81,115,37,4,1,55.0,,,10,27.0,,,,,
224,mathebo01,1882,1,BSN,NL,45,169,17,38,6,0,0,13.0,,,8,18.0,,,,,
225,morrijo01,1882,1,BSN,NL,83,349,73,101,19,11,2,54.0,,,18,29.0,,,,,
226,orourji01,1882,1,BFN,NL,84,370,62,104,15,6,2,37.0,,,13,13.0,,,,,
227,pfefffr01,1882,1,TRN,NL,85,330,26,72,7,4,1,43.0,,,1,24.0,,,,,
228,purcebl01,1882,1,BFN,NL,84,380,79,105,18,6,2,40.0,,,14,27.0,,,,,
229,richaha01,1882,1,BFN,NL,83,354,61,96,20,8,2,57.0,,,11,33.0,,,,,
230,shaffor01,1882,1,CL2,NL,84,313,37,67,14,2,3,28.0,,,27,27.0,,,,,
231,startjo01,1882,1,PRO,NL,82,356,58,117,8,10,0,48.0,,,11,7.0,,,,,
232,stoveha01,1882,1,WOR,NL,84,360,90,104,13,10,5,26.0,,,22,34.0,,,,,
233,suttoez01,1882,1,BSN,NL,81,319,44,80,8,1,2,38.0,,,24,25.0,,,,,
234,wardjo01,1882,1,PRO,NL,83,355,58,87,10,3,1,39.0,,,13,22.0,,,,,
235,whitede01,1882,1,BFN,NL,83,337,51,95,17,0,1,33.0,,,15,16.0,,,,,
236,woodge01,1882,1,DTN,NL,84,375,69,101,12,12,7,29.0,,,14,30.0,,,,,
237,yorkto01,1882,1,PRO,NL,81,321,48,86,23,7,1,40.0,,,19,14.0,,,,,
238,brownpe01,1883,1,LS2,AA,84,358,95,121,15,9,4,0.0,0.0,,23,,,,,,
239,brownto01,1883,1,CL5,AA,97,420,69,115,12,7,5,32.0,0.0,,20,,,,,,
240,gerhajo01,1883,1,LS2,AA,78,319,56,84,11,9,0,0.0,0.0,,14,,,,,,
241,jonesch01,1883,1,CN2,AA,90,391,84,115,15,12,10,80.0,0.0,,20,,,,,,
242,keefeti01,1883,1,NY4,AA,70,259,39,57,6,9,0,0.0,0.0,,14,,,,,,
243,lathaar01,1883,1,SL4,AA,98,406,86,96,12,7,0,0.0,0.0,,18,,,,,,
244,mathebo01,1883,1,PH4,AA,45,167,15,31,2,0,0,11.0,0.0,,5,,,,,,
245,mcphebi01,1883,1,CN2,AA,96,367,61,90,10,10,2,42.0,0.0,,18,,,,,,
246,mullato01,1883,1,SL4,AA,83,307,38,69,11,6,0,33.0,0.0,,13,,,,,,
247,nelsoca01,1883,1,NY4,AA,97,417,75,127,19,6,0,0.0,0.0,,31,,,,,,
248,smithpo01,1883,1,CL5,AA,97,405,82,106,14,17,4,0.0,0.0,,22,,,,,,
249,snydepo01,1883,1,CN2,AA,58,250,38,64,14,6,0,34.0,0.0,,8,,,,,,
250,stoveha01,1883,1,PH4,AA,94,421,110,128,31,6,14,66.0,0.0,,27,,,,,,
251,ansonca01,1883,1,CHN,NL,98,413,70,127,36,5,0,68.0,,,18,9.0,,,,,
252,bennech01,1883,1,DTN,NL,92,371,56,113,34,7,5,55.0,,,26,59.0,,,,,
253,broutda01,1883,1,BFN,NL,98,425,85,159,41,17,3,97.0,,,16,17.0,,,,,
254,burdoja01,1883,1,BSN,NL,96,400,80,132,27,8,5,88.0,,,14,35.0,,,,,
255,connoro01,1883,1,NY1,NL,98,409,80,146,28,15,1,50.0,,,25,16.0,,,,,
256,dennyje01,1883,1,PRO,NL,98,393,73,108,26,8,8,55.0,,,9,48.0,,,,,
257,ewingbu01,1883,1,NY1,NL,88,376,90,114,11,13,10,41.0,,,20,14.0,,,,,
258,forceda01,1883,1,BFN,NL,96,378,40,82,11,3,0,35.0,,,12,39.0,,,,,
259,galvipu01,1883,1,BFN,NL,80,322,41,71,11,2,1,19.0,,,3,79.0,,,,,
260,glassja01,1883,1,CL2,NL,96,383,67,110,19,6,0,46.0,,,13,23.0,,,,,
261,gorege01,1883,1,CHN,NL,92,392,105,131,30,9,2,52.0,,,27,13.0,,,,,
262,hinespa01,1883,1,PRO,NL,97,442,94,132,32,4,4,45.0,,,18,23.0,,,,,
263,kellyki01,1883,1,CHN,NL,98,428,92,109,28,10,3,61.0,,,16,35.0,,,,,
264,morrijo01,1883,1,BSN,NL,97,404,83,129,33,16,6,68.0,,,15,68.0,,,,,
265,orourji01,1883,1,BFN,NL,94,436,102,143,29,8,1,38.0,,,15,13.0,,,,,
266,pfefffr01,1883,1,CHN,NL,96,371,41,87,22,7,1,45.0,,,8,50.0,,,,,
