,Name,Year,LF.WindsMPH,LF.PressureMB,LF.times,BaseDamage,NDAM2014,AffectedStates,firstLF,deaths,mf,BaseDam2014
83,Katrina,2005,125,920,1,81000.0,88420,"LA,MS,FL,AL",2005-08-29,1836,f,98195.3917050691
84,Ophelia,2005,75,982,1,70.0,100,NC,2005-09-15,1,f,84.86021505376341
85,Rita,2005,115,937,1,10000.0,11280,"LA,TX,FL",2005-09-24,62,f,12122.8878648233
86,Wilma,2005,120,950,1,20600.0,29330,FL,2005-10-24,5,f,24973.149001536098
87,Humberto,2007,90,985,1,50.0,55,"TX,LA",2007-09-13,1,m,57.09407645339579
88,Dolly,2008,85,967,1,1050.0,1260,TX,2008-07-23,1,f,1154.64252704328
89,Gustav,2008,105,954,1,4300.0,4800,LA,2008-09-01,52,m,4728.53606312964
90,Ike,2008,110,950,1,19300.0,23070,"TX,LA",2008-09-13,84,m,21223.4293066051
91,Irene,2011,75,952,1,7000.0,7580,"NC,VA,MD,DE,NJ,NY,MA",2011-08-27,41,f,7367.864176510079
92,Isaac,2012,80,966,1,2350.0,2400,LA,2012-08-28,5,m,2423.34730001655
93,Sandy,2012,75,942,1,50000.0,52270,NY,2012-10-29,159,f,51560.580851415994
