,year,Time,Distance,race
207,1953,138.58,42.195,Marathon
208,1954,137.656666666667,42.195,Marathon
209,1958,135.283333333333,42.195,Marathon
210,1960,135.27,42.195,Marathon
211,1963,135.263333333333,42.195,Marathon
212,1963,134.466666666667,42.195,Marathon
213,1964,133.923333333333,42.195,Marathon
214,1964,132.183333333333,42.195,Marathon
215,1965,132.0,42.195,Marathon
216,1967,129.6,42.195,Marathon
217,1969,128.55,42.195,Marathon
218,1981,128.3,42.195,Marathon
219,1984,128.083333333333,42.195,Marathon
220,1985,127.2,42.195,Marathon
221,1988,126.833333333333,42.195,Marathon
222,1998,126.083333333333,42.195,Marathon
223,1999,125.7,42.195,Marathon
224,2002,125.633333333333,42.195,Marathon
225,2003,124.916666666667,42.195,Marathon
226,2007,124.433333333333,42.195,Marathon
