,date,day,dm,ddm,bp,cd,dy,sf
39,800227,wednesday,0.5683,0.00264294048655,2.2840000000000003,0.8713,0.004028,0.6007
40,800228,thursday,0.5670000000000001,-0.0022901445753200004,2.283,0.8731,0.004028,0.597
41,800229,friday,0.5614,-0.00992563979997,2.258,0.8728,0.003968,0.5847
42,800303,monday,0.5606,-0.00142602519709,2.229,0.8729,0.00403,0.5827
43,800304,tuesday,0.5571,-0.00626288170392,2.239,0.8707,0.004063000000000001,0.5813
44,800305,wednesday,0.5585,0.0025098614824899997,2.24,0.8682,0.0040420000000000005,0.5834
45,800306,thursday,0.5574,-0.0019715034614100004,2.2319999999999998,0.8649,0.004031,0.5827
46,800307,friday,0.5557,-0.0030545347619699995,2.222,0.8631,0.004031,0.5797
47,800310,monday,0.5527,-0.00541322144666,2.2185,0.8563,0.004033,0.5763
48,800311,tuesday,0.5526,-0.000180946349901,2.2255,0.8572,0.0040420000000000005,0.5775
49,800312,wednesday,0.5534,0.00144665486351,2.233,0.8544,0.0040420000000000005,0.5797
50,800313,thursday,0.5476,-0.0105359739385,2.221,0.8515,0.004027,0.5714
51,800314,friday,0.5452,-0.00439239359192,2.21,0.8459,0.004012,0.5693
52,800317,monday,0.5346,-0.019633896117599997,2.194,0.8479,0.004023,0.5617
53,800318,tuesday,0.5329999999999999,-0.00299737953897,2.1855,0.8496,0.004016,0.5625
54,800319,wednesday,0.5347,0.0031844177888400004,2.195,0.8478,0.004024,0.5656
55,800320,thursday,0.5357,0.00186846093223,2.19,0.8478,0.004019,0.5664
56,800321,friday,0.5323,-0.0063670627082,2.184,0.8440000000000001,0.004016,0.5613
57,800324,monday,0.5282,-0.00773224031568,2.1915,0.8399,0.004011,0.5586
58,800325,tuesday,0.5285,0.00056780544726,2.1925,0.8396,0.004016,0.5585
59,800326,wednesday,0.526,-0.00474159257258,2.176,0.8399,0.004014,0.5567
60,800327,thursday,0.519,-0.0133973295718,2.173,0.8436,0.004,0.5449
61,800328,friday,0.5178,-0.00231481584845,2.176,0.8414,0.004009,0.5458
62,800331,monday,0.5105,-0.014198429712700002,2.1519999999999997,0.8359,0.004,0.5385
63,800401,tuesday,0.5095,-0.00196078494194,2.153,0.8338,0.003907,0.5356
64,800402,wednesday,0.5116,0.0041132170419099995,2.147,0.8390000000000001,0.00389,0.5376
65,800403,thursday,0.5076,-0.00784933386446,2.1375,0.8389,0.0038799999999999998,0.5347
66,800404,friday,0.508,0.0007877117382489999,2.138,0.8383,0.003861,0.5364
67,800407,monday,0.506,-0.00394477829102,2.1355,0.8422,0.003819,0.5319
68,800408,tuesday,0.5173,0.022086307722,2.177,0.8458,0.00387,0.5452
69,800409,wednesday,0.5303,0.024819907133599998,2.1825,0.846,0.003973,0.5592
70,800410,thursday,0.5336,0.00620361045833,2.2,0.8477,0.004027,0.5711
71,800411,friday,0.5348,0.00224635062637,2.206,0.8478,0.003961,0.573
72,800414,monday,0.5323,-0.00468560504908,2.199,0.8427,0.0039570000000000004,0.5724
73,800415,tuesday,0.5295,-0.00527407513725,2.198,0.8406,0.003958,0.5681
74,800416,wednesday,0.5392,0.0181533945566,2.2265,0.8436,0.004027,0.5813
75,800417,thursday,0.542,0.005179441841550001,2.2285,0.8455,0.004016,0.5797
76,800418,friday,0.5399,-0.0038820642154,2.2155,0.8451,0.0040030000000000005,0.5757
77,800421,monday,0.5406,0.0012956966181099999,2.241,0.845,0.004,0.5793
78,800422,tuesday,0.5395,-0.00203684914416,2.2415,0.8466,0.004006,0.5761
79,800423,wednesday,0.5506,0.0203658080103,2.274,0.8449,0.004113,0.5882
80,800424,thursday,0.5502,-0.0007267442180329999,2.2615,0.8479,0.004074,0.5883
81,800425,friday,0.5519,0.0030850219549800003,2.275,0.8448,0.004062,0.59
82,800428,monday,0.5578,0.010633604747899999,2.2840000000000003,0.8421,0.00415,0.5997
83,800429,tuesday,0.5571,-0.0012557181666199998,2.274,0.8414,0.0041670000000000006,0.6017
84,800430,wednesday,0.5553,-0.00323624877921,2.263,0.8409,0.004164999999999999,0.5997
85,800501,thursday,0.5551,-0.00036023055144599993,2.259,0.8403,0.004161,0.6001
86,800502,friday,0.5489999999999999,-0.011049836186600001,2.256,0.8372,0.004182,0.5899
87,800505,monday,0.5578,0.0159020336839,2.2835,0.8419,0.004212,0.6015
88,800506,tuesday,0.5582,0.000716845908833,2.281,0.8453,0.004325,0.6032
89,800507,wednesday,0.5604,0.00393349336063,2.292,0.8455,0.004324000000000001,0.6059
90,800508,thursday,0.5568,-0.00644470544264,2.281,0.8494,0.00427,0.5992
91,800509,friday,0.5529999999999999,-0.00684810749788,2.2705,0.8489,0.004354,0.5953
92,800512,monday,0.5606,0.013649637208399998,2.2875,0.8512,0.004415,0.6045
93,800513,tuesday,0.5584,-0.00393208728253,2.287,0.8528,0.004392,0.6023
94,800514,wednesday,0.5573,-0.00197185687267,2.2985,0.8499,0.004377000000000001,0.601
95,800515,thursday,0.5572,-0.00017945266984,2.2885,0.85,0.004382,0.5991
96,800516,friday,0.5566,-0.00107739281386,2.285,0.8533,0.004372,0.5988
97,800519,monday,0.5539999999999999,-0.00468216234451,2.285,0.8517,0.00436,0.5959
98,800520,tuesday,0.5564,0.004322773302,2.2945,0.8557,0.004424,0.5972
99,800521,wednesday,0.5586,0.00394619346179,2.3295,0.86,0.004454,0.6007
100,800522,thursday,0.5589,0.000536912764576,2.329,0.8616,0.004464,0.602
101,800523,friday,0.564,0.00908368522241,2.354,0.862,0.004533,0.6084
102,800527,tuesday,0.5675,0.006186497857500001,2.375,0.8617,0.004546,0.6116
103,800528,wednesday,0.5638,-0.006541170675550001,2.3609999999999998,0.8614,0.004459,0.6055
104,800529,thursday,0.5591,-0.00837123064741,2.33,0.8627,0.004445,0.6
105,800530,friday,0.5621,0.00535142197543,2.3480000000000003,0.8631,0.0044740000000000005,0.6035
106,800602,monday,0.5604,-0.00302895554518,2.332,0.8623,0.0044670000000000005,0.6015
107,800603,tuesday,0.5643,0.006935210512239999,2.292,0.8640000000000001,0.0045130000000000005,0.6062
108,800604,wednesday,0.5624,-0.00337268447864,2.322,0.8631,0.004490999999999999,0.6051
109,800605,thursday,0.5641,0.0030182002494799996,2.335,0.8661,0.004563,0.608
110,800606,friday,0.5651,0.00177116588987,2.3355,0.867,0.004564,0.6105
111,800609,monday,0.5677,0.00459040354088,2.3415,0.8696,0.004619,0.6173
112,800610,tuesday,0.5672,-0.000881134958763,2.3285,0.871,0.004613,0.6146
113,800611,wednesday,0.5666,-0.0010583878215,2.3475,0.8714,0.004595,0.6135
114,800612,thursday,0.5698,0.0056318346673900005,2.3372,0.8732,0.0046229999999999995,0.6178
115,800613,friday,0.5711,0.00227890360701,2.346,0.8729,0.004636,0.6209
116,800616,monday,0.5638,-0.0128647469908,2.332,0.8696,0.0046159999999999994,0.6105
117,800617,tuesday,0.5667,0.00513048449556,2.3355,0.8683,0.004636,0.6157
118,800618,wednesday,0.5669,0.00035285815468400004,2.3318,0.87,0.004629,0.6157
119,800619,thursday,0.5654,-0.00264947607077,2.334,0.8703,0.004618,0.6131
120,800620,friday,0.5657,0.0005304570896199999,2.333,0.87,0.004591,0.6123
121,800623,monday,0.5651,-0.00106119571331,2.3415,0.8704,0.004619,0.6112
122,800624,tuesday,0.5651,0.0,2.3355,0.8687,0.00462,0.6097
123,800625,wednesday,0.5653,0.00035385704544699996,2.3375,0.8673,0.004587,0.6097
124,800626,thursday,0.5676,0.0040603816046400005,2.351,0.8703,0.004613,0.6155
125,800627,friday,0.5688,0.00211193320314,2.354,0.8694,0.0045969999999999995,0.6169
126,800630,monday,0.5669,-0.0033459571587700003,2.3585,0.8689,0.004546,0.6142
127,800701,tuesday,0.5682,0.00229054808983,2.365,0.8689,0.004553,0.6159
128,800702,wednesday,0.5689,0.00123120233651,2.36,0.8746,0.004574,0.6178
129,800703,thursday,0.5702,0.0022825047219699997,2.3525,0.8728,0.004572,0.6218
130,800707,monday,0.5752,0.008730629928270001,2.383,0.8742,0.004582999999999999,0.63
131,800708,tuesday,0.5748,-0.000695652201967,2.3705,0.8739,0.004561,0.629
132,800709,wednesday,0.5753,0.000869489664378,2.3745,0.8726,0.004587,0.628
133,800710,thursday,0.5752,-0.000173837462411,2.3755,0.8715,0.004614,0.6276
134,800711,friday,0.5734,-0.0031342529575700004,2.3755,0.8692,0.004581,0.6243
135,800714,monday,0.5727,-0.0012215340494600001,2.3765,0.8682,0.004574,0.6224
136,800715,tuesday,0.5708,-0.0033231337971300003,2.37,0.8661,0.004553,0.618
137,800716,wednesday,0.575,0.00733115519467,2.3785,0.8688,0.004575,0.6257
138,800717,thursday,0.5728,-0.00383342515091,2.3755,0.8682,0.004563,0.622
139,800718,friday,0.573,0.000349101068304,2.3785,0.8668,0.004541,0.623
140,800721,monday,0.5747,0.00296244879896,2.3805,0.8669,0.004545,0.6252
141,800722,tuesday,0.5747,0.0,2.3895,0.8672,0.004516,0.625
142,800723,wednesday,0.5753,0.00104347835555,2.384,0.8668,0.004457,0.6253
143,800724,thursday,0.5759,0.00104239064338,2.3930000000000002,0.8665,0.004478,0.6253
144,800725,friday,0.5756,-0.000521059499414,2.396,0.8634,0.004436,0.6252
145,800728,monday,0.5713,-0.0074985092828,2.38,0.858,0.004393,0.6203
146,800729,tuesday,0.5662,-0.008967093052620001,2.3615,0.8585,0.004407,0.6142
147,800730,wednesday,0.5615,-0.0083355984993,2.346,0.8578,0.004417,0.606
148,800731,thursday,0.5596,-0.0033895313871700004,2.329,0.8617,0.00439,0.6031
149,800801,friday,0.5592,-0.0007150518717250001,2.334,0.8635,0.004405,0.6009
150,800804,monday,0.564,0.008547060578459999,2.3565,0.8649,0.004431,0.6116
151,800805,tuesday,0.5649,0.0015944728331600002,2.3555,0.8646,0.004425999999999999,0.6123
152,800806,wednesday,0.564,-0.0015944728331600002,2.375,0.8641,0.004436,0.6127
153,800807,thursday,0.5607,-0.0058682483684300004,2.3765,0.8643,0.004425999999999999,0.6079
154,800808,friday,0.5605,-0.0003567606174119999,2.373,0.8640000000000001,0.004413,0.606
155,800811,monday,0.5606,0.00017839621847300002,2.3705,0.8616,0.004424,0.6076
156,800812,tuesday,0.5624,0.00320570176577,2.38,0.8631,0.004490999999999999,0.6116
157,800813,wednesday,0.5609,-0.00267070398216,2.3775,0.8629,0.0044659999999999995,0.6091
158,800814,thursday,0.5596,-0.00232039372297,2.3775,0.8625,0.004452,0.6079
159,800815,friday,0.5587,-0.00160958632622,2.3725,0.8625,0.004441,0.6065
160,800818,monday,0.5547,-0.0071852294039100005,2.3585,0.8584,0.004417,0.6011
161,800819,tuesday,0.5555,0.0014411820185000002,2.358,0.8605,0.004457,0.6018
162,800820,wednesday,0.5563,0.0014391080015599999,2.369,0.8614,0.004452,0.6026
163,800821,thursday,0.5535,-0.005045964932560001,2.365,0.8604,0.004442,0.5991
164,800822,friday,0.5552,0.0030666570439000004,2.371,0.8637,0.004483,0.6013
165,800825,monday,0.5539999999999999,-0.00216372244531,2.369,0.8638,0.004481000000000001,0.5997
166,800826,tuesday,0.5566,0.00468216234451,2.384,0.8632,0.004556,0.6038
167,800827,wednesday,0.556,-0.0010785548412100001,2.3975,0.863,0.004562,0.6036
168,800828,thursday,0.5593,0.00591770757696,2.39,0.8649,0.004586,0.6075
169,800829,friday,0.5592,-0.00017881090794200002,2.4045,0.8645,0.004573,0.608
170,800902,tuesday,0.5614,0.00392647300818,2.415,0.8657,0.0046229999999999995,0.6099
171,800903,wednesday,0.5632,0.00320114091605,2.411,0.8608,0.004609,0.6136
172,800904,thursday,0.5618,-0.00248889017369,2.4205,0.8605,0.0045969999999999995,0.612
173,800905,friday,0.5604,-0.00249510020729,2.414,0.8594,0.0045780000000000005,0.6108
174,800908,monday,0.5625,0.00374031961572,2.4215,0.8598,0.004612,0.6148
175,800909,tuesday,0.5614,-0.00195747015079,2.4,0.8605,0.004619,0.6129
176,800910,wednesday,0.5623,0.0016018513703699997,2.408,0.8591,0.0046170000000000004,0.6135
177,800911,thursday,0.5624,0.00017782519829900005,2.418,0.8615,0.004674,0.6142
178,800912,friday,0.5614,-0.0017796765686700002,2.406,0.8605,0.004698,0.6133
179,800915,monday,0.5599,-0.00267546757293,2.391,0.858,0.004692,0.6117
180,800916,tuesday,0.5603,0.0007141582163910001,2.383,0.8554,0.00473,0.612
181,800917,wednesday,0.5608,0.000891981149141,2.391,0.8547,0.004722,0.6131
182,800918,thursday,0.5559,-0.00877591376096,2.3815,0.8569,0.004692,0.6069
183,800919,friday,0.5579999999999999,0.00377054042189,2.386,0.858,0.004739,0.609
184,800922,monday,0.5536,-0.007916558077850001,2.406,0.8594,0.004656,0.6033
185,800923,tuesday,0.5537,0.00018061952546200003,2.4015,0.8579,0.0045969999999999995,0.6035
186,800924,wednesday,0.5551,0.00252525386719,2.4,0.8583,0.004629,0.606
187,800925,thursday,0.5554,0.0005402971765839999,2.4025,0.8585,0.004642,0.6058
188,800926,friday,0.5535,-0.0034268227240100003,2.386,0.8555,0.004725,0.6069
189,800929,monday,0.5511,-0.0043454712595000005,2.387,0.8533,0.004703,0.6042
190,800930,tuesday,0.5511,0.0,2.3795,0.8543,0.004746,0.6046
191,801001,wednesday,0.5529,0.0032608724546999996,2.3930000000000002,0.8535,0.004804999999999999,0.6099
192,801002,thursday,0.5512,-0.00307943364444,2.3890000000000002,0.8548,0.004790999999999999,0.6073
193,801003,friday,0.5551,0.00705055799667,2.4,0.8597,0.004824,0.6116
194,801006,monday,0.5548,-0.0005405892554390001,2.3975,0.8572,0.004806,0.6116
195,801007,tuesday,0.5544,-0.0007212405649830001,2.3915,0.8567,0.00479,0.6105
196,801008,wednesday,0.5543,-0.000180391449934,2.395,0.8558,0.004797,0.6105
197,801009,thursday,0.5543,0.0,2.4005,0.8592,0.004793,0.6116
198,801010,friday,0.5543,0.0,2.401,0.8577,0.004784,0.6114
199,801014,tuesday,0.5487,-0.0101542123608,2.4055,0.8583,0.004828,0.6058
200,801015,wednesday,0.5484,-0.00054689637677,2.4095,0.8573,0.004822,0.6082
201,801016,thursday,0.5451,-0.00603568361792,2.4175,0.8572,0.004796,0.6044
202,801017,friday,0.5411,-0.00736515942155,2.408,0.8566,0.004804,0.602
203,801020,monday,0.5377,-0.00630332083306,2.4315,0.8563,0.004789,0.6049
204,801021,tuesday,0.535,-0.00503403691963,2.439,0.8561,0.004803,0.6022
205,801022,wednesday,0.5364,0.00261340451152,2.434,0.8544,0.0047810000000000005,0.6018
206,801023,thursday,0.536,-0.000745990336721,2.4545,0.8554,0.0047409999999999996,0.6002
207,801024,friday,0.5359,-0.00018658456999699999,2.4425,0.8537,0.004693999999999999,0.5973
208,801027,monday,0.5316,-0.00805624966171,2.436,0.8515,0.0046619999999999995,0.5865
209,801028,tuesday,0.5285,-0.005848521528800001,2.436,0.8525,0.004693999999999999,0.5861
210,801029,wednesday,0.531,0.00471921593165,2.436,0.8503,0.0047799999999999995,0.5905
211,801030,thursday,0.5252,-0.0109828788133,2.443,0.8501,0.004743,0.5829
212,801031,friday,0.5238,-0.00266921035503,2.4335,0.8498,0.004731,0.5824
213,801103,monday,0.5231,-0.00133728169705,2.4495,0.8461,0.004752,0.5854
214,801105,wednesday,0.5157,-0.0142474493197,2.4465,0.8431,0.004748,0.575
215,801106,thursday,0.5123,-0.00661481011176,2.434,0.8417,0.004693999999999999,0.5714
216,801107,friday,0.5133,0.0019500786210999998,2.42,0.843,0.004688,0.5727
217,801110,monday,0.5298,0.031639107271699995,2.397,0.8451,0.004777,0.5891
218,801112,wednesday,0.5274,-0.0045403029187799995,2.416,0.8441,0.004699,0.5858
219,801113,thursday,0.5267,-0.0013281474298399998,2.41,0.8431,0.0047,0.5841
220,801114,friday,0.5235,-0.00609409617875,2.405,0.8436,0.004688,0.5824
221,801117,monday,0.5185,-0.00959700264101,2.3975,0.8417,0.004679,0.5763
222,801118,tuesday,0.5235,0.00959700264101,2.3895,0.8448,0.004693999999999999,0.5803
223,801119,wednesday,0.5271,0.0068532535505699994,2.3805,0.8427,0.004705,0.5858
224,801120,thursday,0.5219,-0.009914285211790002,2.384,0.8446,0.004674,0.5793
225,801121,friday,0.5211,-0.0015340367342,2.3575,0.8429,0.004679,0.5785
226,801124,monday,0.5221,0.0019171785013399997,2.3375,0.8397,0.004685,0.5776
227,801125,tuesday,0.5222,0.00019151584852200002,2.358,0.8421,0.004659,0.5787
228,801126,wednesday,0.5186,-0.00691778316046,2.3680000000000003,0.8416,0.0046240000000000005,0.5769
229,801128,friday,0.5195,0.00173393743472,2.3565,0.8397,0.004615,0.5751
230,801201,monday,0.5149,-0.00889410348719,2.3480000000000003,0.8382,0.004592000000000001,0.5701
231,801202,tuesday,0.513,-0.00369686188133,2.3345,0.8375,0.00463,0.5681
232,801203,wednesday,0.5154,0.0046674530475,2.3480000000000003,0.8371,0.004679,0.5709
233,801204,thursday,0.5138,-0.00310921354248,2.343,0.8377,0.004728,0.5694
234,801205,friday,0.5111,-0.00526881890155,2.346,0.8368,0.004725,0.5656
235,801208,monday,0.5095,-0.00313541311145,2.346,0.8361,0.004807,0.564
236,801209,tuesday,0.5017,-0.0154275211726,2.334,0.8341,0.0048200000000000005,0.5549
237,801210,wednesday,0.4975,-0.00840677489156,2.3395,0.8338,0.004748,0.5494
238,801211,thursday,0.4945,-0.00604840553588,2.319,0.8320000000000001,0.004743,0.5452
239,801212,friday,0.4992,0.00945966599245,2.319,0.8299,0.00475,0.5502
240,801215,monday,0.5,0.0016012813669700001,2.32,0.8272,0.004784,0.5515
241,801216,tuesday,0.499,-0.00200200267067,2.3135,0.828,0.004793,0.5503
242,801217,wednesday,0.505,0.011952333523799999,2.329,0.8279,0.004790999999999999,0.5552
243,801218,thursday,0.5025,-0.00496278934213,2.325,0.8344,0.004764,0.5534
244,801219,friday,0.5078,0.010492029337299999,2.35,0.8385,0.004804999999999999,0.5586
245,801222,monday,0.5104,0.00510706276,2.355,0.8383,0.0048119999999999994,0.5586
246,801223,tuesday,0.5136,0.00625002034517,2.3705,0.8378,0.004817,0.5651
247,801224,wednesday,0.5144,0.0015564205476600002,2.37,0.838,0.004807,0.5649
248,801226,friday,0.5128,-0.00311526731695,2.379,0.8396,0.004822,0.5665
249,801229,monday,0.5121,-0.00136598713796,2.373,0.8427,0.00485,0.5656
250,801230,tuesday,0.5095,-0.00509006580573,2.387,0.8396,0.004926,0.5627
251,801231,wednesday,0.5062,-0.0064980045517600005,2.3875,0.8371,0.004926,0.5586
252,810102,friday,0.5076,0.0027618877292100003,2.38,0.8371,0.0049380000000000005,0.5596
253,810105,monday,0.5165,0.0173815527195,2.4235,0.8406,0.005017,0.5698
254,810106,tuesday,0.5154,-0.00213199034143,2.418,0.8413,0.005005,0.5706
255,810107,wednesday,0.5117,-0.00720478240722,2.406,0.8411,0.004967,0.5646
256,810108,thursday,0.507,-0.00922751221986,2.3978,0.8431,0.004944,0.5613
257,810109,friday,0.5039,-0.0061331679046299995,2.4,0.8415,0.004928,0.5552
258,810112,monday,0.5022,-0.00337938896307,2.396,0.8405,0.004902,0.5512
259,810113,tuesday,0.5021,-0.000199143682825,2.3915,0.8420000000000001,0.004921,0.5549
260,810114,wednesday,0.502,-0.000199183348931,2.404,0.8394,0.004928,0.5537
261,810115,thursday,0.495,-0.014042357123000001,2.3890000000000002,0.8392,0.0049380000000000005,0.5455
262,810116,friday,0.499,0.00804833318283,2.397,0.8394,0.004926,0.5502
263,810119,monday,0.4988,-0.000400881945637,2.408,0.8392,0.004943,0.5479
264,810120,tuesday,0.5018,0.00599642012644,2.4275,0.8409,0.004992,0.5506
265,810121,wednesday,0.4969,-0.00981283532405,2.417,0.8397,0.004997,0.5476
266,810122,thursday,0.496,-0.0018128718833499999,2.412,0.8402,0.0049700000000000005,0.5482
267,810123,friday,0.4908,-0.0105392138882,2.412,0.8401,0.004932,0.5436
268,810126,monday,0.4854,-0.011063419544299999,2.4219999999999997,0.8404,0.004906000000000001,0.5379999999999999
269,810127,tuesday,0.4831,-0.00474962173214,2.408,0.8385,0.004939,0.5347
270,810128,wednesday,0.4811,-0.00414852285495,2.408,0.8340000000000001,0.004887,0.5317
271,810129,thursday,0.4761,-0.0104472325049,2.395,0.8368,0.0048920000000000005,0.5238
272,810130,friday,0.4681,-0.0169459678944,2.3609999999999998,0.8369,0.004845,0.5168
273,810202,monday,0.4694,0.0027733351108999997,2.345,0.8361,0.004922,0.5197
274,810203,tuesday,0.4708,0.0029780919691999998,2.353,0.8359,0.004906000000000001,0.5197
275,810204,wednesday,0.47200000000000003,0.00254561019943,2.346,0.8376,0.004914,0.5205
276,810205,thursday,0.4628,-0.019683990265999998,2.332,0.8348,0.004897,0.51
277,810206,friday,0.4681,0.0113869529865,2.346,0.8352,0.004909,0.5154
278,810209,monday,0.467,-0.00235269063713,2.338,0.8343,0.004906000000000001,0.5153
279,810210,tuesday,0.4674,0.0008561644358600001,2.342,0.8352,0.004911,0.5152
280,810211,wednesday,0.4634,-0.00859481010648,2.334,0.835,0.0049,0.5096
281,810212,thursday,0.4564,-0.015220994010399998,2.305,0.8341,0.004868,0.5002
282,810213,friday,0.4498,-0.014566578462700002,2.285,0.8311,0.004815,0.4943
283,810217,tuesday,0.4604,0.0232926373225,2.267,0.8296,0.004849,0.5063
284,810218,wednesday,0.4604,0.0,2.2640000000000002,0.8316,0.004828,0.5065
285,810219,thursday,0.4732,0.027422455256500004,2.315,0.8357,0.004863,0.5241
286,810220,friday,0.4796,0.0134342910491,2.315,0.8371,0.0048590000000000005,0.5291
287,810223,monday,0.4688,-0.0227761848906,2.237,0.8343,0.004802000000000001,0.5192
288,810224,tuesday,0.4759,0.015031509864299998,2.2319999999999998,0.8356,0.004849,0.5241
289,810225,wednesday,0.4727,-0.006746810327869999,2.2305,0.833,0.004817,0.5211
290,810226,thursday,0.4708,-0.00402756241307,2.228,0.8328,0.0048,0.5117
291,810227,friday,0.4697,-0.00233918235317,2.202,0.8320000000000001,0.004775,0.5089
292,810302,monday,0.4625,-0.0154476360805,2.1745,0.8298,0.004727,0.502
293,810303,tuesday,0.4688,0.013529681310299998,2.207,0.8318,0.004802000000000001,0.5123
294,810304,wednesday,0.4677,-0.00234917353096,2.214,0.8318,0.004796,0.5146
295,810305,thursday,0.467,-0.00149780706294,2.2005,0.8326,0.0047729999999999995,0.5128
296,810306,friday,0.469,0.00427351077738,2.1855,0.8336,0.004782,0.5115
297,810309,monday,0.4733,0.00912666846592,2.2030000000000003,0.8352,0.004847,0.5168
298,810310,tuesday,0.47100000000000003,-0.0048713428957799995,2.213,0.8338,0.004804999999999999,0.5173
299,810311,wednesday,0.4721,0.00233273353582,2.21,0.8341,0.004821,0.516
300,810312,thursday,0.4733,0.00253860935996,2.222,0.8366,0.004821,0.517
301,810313,friday,0.4743,0.00211059597133,2.22,0.8382,0.0048119999999999994,0.5208
302,810316,monday,0.4775,0.006724127037250001,2.2455,0.8425,0.0048,0.5254
303,810317,tuesday,0.4812,0.00771882417974,2.262,0.845,0.004833,0.5289
304,810318,wednesday,0.4897,0.0175099746077,2.292,0.8458,0.004823,0.5385
305,810319,thursday,0.4847,-0.0102628158569,2.2769999999999997,0.8443,0.004789,0.5319
306,810320,friday,0.4844,-0.000619131172393,2.2569999999999997,0.8486,0.004807,0.5316
307,810323,monday,0.4812,-0.0066280275784099995,2.2615,0.8452,0.004797999999999999,0.5285
308,810324,tuesday,0.479,-0.00458238668961,2.2575,0.8439,0.004786,0.5252
309,810325,wednesday,0.4789,-0.00020879006235199999,2.265,0.8463,0.004792,0.5249
310,810326,thursday,0.4686,-0.021742281274900004,2.234,0.8433,0.004728,0.5159
311,810327,friday,0.47100000000000003,0.005108567942720001,2.225,0.8406,0.00473,0.5167
312,810330,monday,0.4836,0.0264000247242,2.26,0.8426,0.00475,0.5305
313,810331,tuesday,0.4739,-0.020261789767099997,2.2365,0.8445,0.004723,0.5185
314,810401,wednesday,0.4772,0.006939361250220001,2.2430000000000003,0.8453,0.004697,0.5227
315,810402,thursday,0.4711,-0.0128653045178,2.202,0.8448,0.004678,0.517
316,810403,friday,0.4698,-0.00276331348118,2.202,0.8443,0.00469,0.5157
317,810406,monday,0.4631,-0.0143640587381,2.176,0.8401,0.004657,0.5081
