,,,MEstimateEncoder
midwest,RandomForestRegressor,RMSE,0.616 ±0.153
midwest,RandomForestRegressor,MAE,0.385 ±0.077
midwest,RandomForestRegressor,R2,0.618 ±0.141
midwest,GradientBoostingRegressor,RMSE,0.499 ±0.137
midwest,GradientBoostingRegressor,MAE,0.294 ±0.056
midwest,GradientBoostingRegressor,R2,0.747 ±0.108
midwest,MLPRegressor,RMSE,0.561 ±0.277
midwest,MLPRegressor,MAE,0.240 ±0.035
midwest,MLPRegressor,R2,0.607 ±0.418
midwest,MLPRegressor2,RMSE,0.687 ±0.515
midwest,MLPRegressor2,MAE,0.237 ±0.035
midwest,MLPRegressor2,R2,0.354 ±1.052
mpg,ElasticNet,RMSE,0.708 ±0.122
mpg,ElasticNet,MAE,0.427 ±0.059
mpg,ElasticNet,R2,0.509 ±0.025
mpg,KNeighborsRegressor,RMSE,0.382 ±0.093
mpg,KNeighborsRegressor,MAE,0.202 ±0.030
mpg,KNeighborsRegressor,R2,0.857 ±0.033
mpg,SVR,RMSE,0.368 ±0.136
mpg,SVR,MAE,0.155 ±0.018
mpg,SVR,R2,0.868 ±0.061
mpg,RandomForestRegressor,RMSE,0.327 ±0.097
mpg,RandomForestRegressor,MAE,0.148 ±0.022
mpg,RandomForestRegressor,R2,0.895 ±0.035
mpg,GradientBoostingRegressor,RMSE,0.303 ±0.099
mpg,GradientBoostingRegressor,MAE,0.146 ±0.022
mpg,GradientBoostingRegressor,R2,0.909 ±0.037
mpg,MLPRegressor,RMSE,0.295 ±0.078
mpg,MLPRegressor,MAE,0.165 ±0.020
mpg,MLPRegressor,R2,0.914 ±0.025
mpg,MLPRegressor2,RMSE,0.275 ±0.066
mpg,MLPRegressor2,MAE,0.152 ±0.019
mpg,MLPRegressor2,R2,0.925 ±0.019
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.669 ±0.212
msleep,KNeighborsRegressor,MAE,0.402 ±0.127
msleep,KNeighborsRegressor,R2,0.551 ±0.110
msleep,SVR,RMSE,0.673 ±0.315
msleep,SVR,MAE,0.248 ±0.097
msleep,SVR,R2,0.550 ±0.243
msleep,RandomForestRegressor,RMSE,0.524 ±0.233
msleep,RandomForestRegressor,MAE,0.247 ±0.109
msleep,RandomForestRegressor,R2,0.722 ±0.138
msleep,GradientBoostingRegressor,RMSE,0.398 ±0.232
msleep,GradientBoostingRegressor,MAE,0.184 ±0.101
msleep,GradientBoostingRegressor,R2,0.833 ±0.131
msleep,MLPRegressor,RMSE,0.384 ±0.145
msleep,MLPRegressor,MAE,0.227 ±0.126
msleep,MLPRegressor,R2,0.823 ±0.147
msleep,MLPRegressor2,RMSE,0.350 ±0.162
msleep,MLPRegressor2,MAE,0.172 ±0.084
msleep,MLPRegressor2,R2,0.851 ±0.126
txhousing,ElasticNet,RMSE,0.615 ±0.034
txhousing,ElasticNet,MAE,0.244 ±0.003
txhousing,ElasticNet,R2,0.622 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.005
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.081 ±0.018
txhousing,SVR,MAE,0.027 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.055 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.055 ±0.003
txhousing,MLPRegressor,MAE,0.021 ±0.002
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.042 ±0.003
txhousing,MLPRegressor2,MAE,0.016 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.785 ±0.259
gtcars,KNeighborsRegressor,MAE,0.384 ±0.121
gtcars,KNeighborsRegressor,R2,0.414 ±0.093
gtcars,SVR,RMSE,0.770 ±0.278
gtcars,SVR,MAE,0.373 ±0.128
gtcars,SVR,R2,0.446 ±0.117
gtcars,RandomForestRegressor,RMSE,0.760 ±0.259
gtcars,RandomForestRegressor,MAE,0.348 ±0.100
gtcars,RandomForestRegressor,R2,0.443 ±0.146
gtcars,GradientBoostingRegressor,RMSE,0.799 ±0.264
gtcars,GradientBoostingRegressor,MAE,0.344 ±0.137
gtcars,GradientBoostingRegressor,R2,0.364 ±0.248
gtcars,MLPRegressor,RMSE,0.808 ±0.251
gtcars,MLPRegressor,MAE,0.392 ±0.120
gtcars,MLPRegressor,R2,0.346 ±0.240
gtcars,MLPRegressor2,RMSE,0.813 ±0.236
gtcars,MLPRegressor2,MAE,0.380 ±0.109
gtcars,MLPRegressor2,R2,0.294 ±0.440
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.725 ±0.093
water,KNeighborsRegressor,MAE,0.564 ±0.116
water,KNeighborsRegressor,R2,0.457 ±0.101
water,SVR,RMSE,0.761 ±0.114
water,SVR,MAE,0.596 ±0.118
water,SVR,R2,0.404 ±0.120
water,RandomForestRegressor,RMSE,0.798 ±0.093
water,RandomForestRegressor,MAE,0.562 ±0.118
water,RandomForestRegressor,R2,0.332 ±0.160
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.634 ±0.127
water,GradientBoostingRegressor,R2,0.182 ±0.236
water,MLPRegressor,RMSE,0.711 ±0.097
water,MLPRegressor,MAE,0.547 ±0.128
water,MLPRegressor,R2,0.476 ±0.123
water,MLPRegressor2,RMSE,0.755 ±0.115
water,MLPRegressor2,MAE,0.568 ±0.133
water,MLPRegressor2,R2,0.410 ±0.147
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.670 ±0.246
ca2006,KNeighborsRegressor,MAE,0.439 ±0.191
ca2006,KNeighborsRegressor,R2,0.497 ±0.339
ca2006,SVR,RMSE,0.657 ±0.240
ca2006,SVR,MAE,0.296 ±0.182
ca2006,SVR,R2,0.533 ±0.259
ca2006,RandomForestRegressor,RMSE,0.483 ±0.187
ca2006,RandomForestRegressor,MAE,0.261 ±0.117
ca2006,RandomForestRegressor,R2,0.744 ±0.161
ca2006,GradientBoostingRegressor,RMSE,0.425 ±0.159
ca2006,GradientBoostingRegressor,MAE,0.248 ±0.118
ca2006,GradientBoostingRegressor,R2,0.801 ±0.120
ca2006,MLPRegressor,RMSE,0.412 ±0.132
ca2006,MLPRegressor,MAE,0.247 ±0.112
ca2006,MLPRegressor,R2,0.803 ±0.117
ca2006,MLPRegressor2,RMSE,0.389 ±0.120
ca2006,MLPRegressor2,MAE,0.223 ±0.086
ca2006,MLPRegressor2,R2,0.824 ±0.118
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.366 ±0.045
UKHouseOfCommons,KNeighborsRegressor,MAE,0.157 ±0.012
UKHouseOfCommons,KNeighborsRegressor,R2,0.866 ±0.022
UKHouseOfCommons,SVR,RMSE,0.306 ±0.092
UKHouseOfCommons,SVR,MAE,0.062 ±0.007
UKHouseOfCommons,SVR,R2,0.904 ±0.043
UKHouseOfCommons,RandomForestRegressor,RMSE,0.258 ±0.053
UKHouseOfCommons,RandomForestRegressor,MAE,0.095 ±0.010
UKHouseOfCommons,RandomForestRegressor,R2,0.932 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.195 ±0.045
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.085 ±0.009
UKHouseOfCommons,GradientBoostingRegressor,R2,0.961 ±0.014
UKHouseOfCommons,MLPRegressor,RMSE,0.129 ±0.036
UKHouseOfCommons,MLPRegressor,MAE,0.051 ±0.008
UKHouseOfCommons,MLPRegressor,R2,0.983 ±0.008
UKHouseOfCommons,MLPRegressor2,RMSE,0.102 ±0.029
UKHouseOfCommons,MLPRegressor2,MAE,0.036 ±0.006
UKHouseOfCommons,MLPRegressor2,R2,0.989 ±0.005
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.568 ±0.064
myeloid,KNeighborsRegressor,MAE,0.258 ±0.056
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.563 ±0.070
myeloid,SVR,MAE,0.216 ±0.044
myeloid,SVR,R2,0.677 ±0.062
myeloid,RandomForestRegressor,RMSE,0.575 ±0.058
myeloid,RandomForestRegressor,MAE,0.264 ±0.043
myeloid,RandomForestRegressor,R2,0.660 ±0.068
myeloid,GradientBoostingRegressor,RMSE,0.621 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.274 ±0.047
myeloid,GradientBoostingRegressor,R2,0.604 ±0.098
myeloid,MLPRegressor,RMSE,0.577 ±0.052
myeloid,MLPRegressor,MAE,0.252 ±0.042
myeloid,MLPRegressor,R2,0.657 ±0.078
myeloid,MLPRegressor2,RMSE,0.687 ±0.090
myeloid,MLPRegressor2,MAE,0.271 ±0.051
myeloid,MLPRegressor2,R2,0.512 ±0.141
us_rent_income,ElasticNet,RMSE,0.697 ±0.046
us_rent_income,ElasticNet,MAE,0.669 ±0.047
us_rent_income,ElasticNet,R2,0.505 ±0.037
us_rent_income,KNeighborsRegressor,RMSE,0.202 ±0.039
us_rent_income,KNeighborsRegressor,MAE,0.031 ±0.009
us_rent_income,KNeighborsRegressor,R2,0.958 ±0.013
us_rent_income,SVR,RMSE,0.308 ±0.067
us_rent_income,SVR,MAE,0.191 ±0.060
us_rent_income,SVR,R2,0.901 ±0.035
us_rent_income,RandomForestRegressor,RMSE,0.234 ±0.047
us_rent_income,RandomForestRegressor,MAE,0.031 ±0.006
us_rent_income,RandomForestRegressor,R2,0.943 ±0.019
us_rent_income,GradientBoostingRegressor,RMSE,0.254 ±0.048
us_rent_income,GradientBoostingRegressor,MAE,0.059 ±0.020
us_rent_income,GradientBoostingRegressor,R2,0.933 ±0.020
us_rent_income,MLPRegressor,RMSE,0.261 ±0.065
us_rent_income,MLPRegressor,MAE,0.175 ±0.070
us_rent_income,MLPRegressor,R2,0.928 ±0.034
us_rent_income,MLPRegressor2,RMSE,0.223 ±0.045
us_rent_income,MLPRegressor2,MAE,0.110 ±0.044
us_rent_income,MLPRegressor2,R2,0.948 ±0.020
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.480 ±0.039
Baseball,KNeighborsRegressor,MAE,0.298 ±0.028
Baseball,KNeighborsRegressor,R2,0.767 ±0.033
Baseball,SVR,RMSE,0.479 ±0.071
Baseball,SVR,MAE,0.260 ±0.028
Baseball,SVR,R2,0.771 ±0.038
Baseball,RandomForestRegressor,RMSE,0.382 ±0.039
Baseball,RandomForestRegressor,MAE,0.227 ±0.021
Baseball,RandomForestRegressor,R2,0.853 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.373 ±0.033
Baseball,GradientBoostingRegressor,MAE,0.232 ±0.029
Baseball,GradientBoostingRegressor,R2,0.859 ±0.024
Baseball,MLPRegressor,RMSE,0.390 ±0.033
Baseball,MLPRegressor,MAE,0.247 ±0.024
Baseball,MLPRegressor,R2,0.846 ±0.024
Baseball,MLPRegressor2,RMSE,0.383 ±0.026
Baseball,MLPRegressor2,MAE,0.243 ±0.025
Baseball,MLPRegressor2,R2,0.851 ±0.022
